[24-10-31 15:14:32] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 15:14:32] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 15:14:32] 0            p0 [    16251.0   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:32] 1     -60109.26 [    16251.0   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:32] 2     -60109.26 [    16251.0   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:32] 3     -60109.22 [    16252.0   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 4     -60109.16 [    16253.6   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 5     -60102.55 [    16430.0   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 6     -59976.91 [    21627.8   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 7     -59902.28 [    30038.2   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 8     -59903.54 [    29779.7   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:33] 9     -59870.78 [    43646.4   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:34] 10    -59873.96 [    40728.4   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:34] 13    -59877.35 [    38448.5   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:34] 14    -59873.55 [    41047.4   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:34] 15    -59868.41 [    46858.8   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:34] 16    -59867.38 [    48844.2   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:35] 18    -59867.74 [    48085.9   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:35] 19    -59867.17 [    49312.9   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:35] 20    -59867.04 [    49643.5   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:35] 21    -59867.04 [    49643.5   20524.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:35] 22    -59867.18 [    49643.5   20525.5   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:36] 23    -59866.81 [    49643.5   20522.9   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:36] 24    -59866.44 [    49643.5   20520.3   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:36] 25    -59865.85 [    49643.5   20516.0   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:36] 26    -59864.89 [    49643.5   20509.2   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:37] 27    -59863.34 [    49643.5   20498.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:37] 28    -59860.83 [    49643.5   20480.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:37] 29    -59856.75 [    49643.5   20451.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:37] 30    -59850.15 [    49643.5   20404.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:38] 31    -59839.41 [    49643.5   20328.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:38] 32    -59821.94 [    49643.5   20205.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:38] 33    -59793.38 [    49643.5   20006.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:38] 34    -59746.39 [    49643.5   19684.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:39] 35    -59668.31 [    49643.5   19163.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:39] 36    -59536.35 [    49643.5   18320.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:39] 37    -59307.31 [    49643.5   16956.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:39] 38    -58893.33 [    49643.5   14749.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:40] 39    -58120.78 [    49643.5   11178.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:40] 40    -57877.47 [    49643.5    5400.1   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:40] 41    -57448.64 [    49643.5    7159.4   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:40] 42    -57603.34 [    49643.5    8694.4   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:41] 43    -57493.64 [    49643.5    6487.4   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:41] 44    -57450.59 [    49643.5    7293.0   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:41] 45    -57449.85 [    49643.5    7025.7   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:41] 46    -57448.64 [    49643.5    7159.4   42638.5    7759.0   18553.8 ]
[24-10-31 15:14:42] 47    -57448.66 [    49643.5    7159.4   42639.5    7759.0   18553.8 ]
[24-10-31 15:14:42] 48     -57448.6 [    49643.5    7159.4   42636.8    7759.0   18553.8 ]
[24-10-31 15:14:42] 49    -57444.33 [    49643.5    7159.4   42460.5    7759.0   18553.8 ]
[24-10-31 15:14:42] 53    -57419.78 [    49643.5    7159.4   41411.7    7759.0   18553.8 ]
[24-10-31 15:14:42] 54    -57431.88 [    49643.5    7159.4   41936.1    7759.0   18553.8 ]
[24-10-31 15:14:43] 55    -57405.31 [    49643.5    7159.4   40763.5    7759.0   18553.8 ]
[24-10-31 15:14:43] 56    -57396.63 [    49643.5    7159.4   40362.9    7759.0   18553.8 ]
[24-10-31 15:14:43] 57    -57391.36 [    49643.5    7159.4   40115.3    7759.0   18553.8 ]
[24-10-31 15:14:43] 59    -57393.36 [    49643.5    7159.4   40209.8    7759.0   18553.8 ]
[24-10-31 15:14:44] 60    -57390.13 [    49643.5    7159.4   40056.8    7759.0   18553.8 ]
[24-10-31 15:14:44] 61    -57389.37 [    49643.5    7159.4   40020.7    7759.0   18553.8 ]
[24-10-31 15:14:44] 63    -57389.37 [    49643.5    7159.4   40020.7    7759.0   18553.8 ]
[24-10-31 15:14:44] 64    -57389.37 [    49643.5    7159.4   40020.7    7760.0   18553.8 ]
[24-10-31 15:14:45] 65    -57389.37 [    49643.5    7159.4   40020.7    7757.4   18553.8 ]
[24-10-31 15:14:45] 66    -57389.14 [    49643.5    7159.4   40020.7    7581.0   18553.8 ]
