[24-11-02 03:23:45] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-02 03:23:45] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-02 03:23:45] 0            p0 [     4613.2  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:46] 1    -348390.83 [     4613.2  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:47] 2    -348390.83 [     4613.2  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:48] 3    -348433.32 [     4614.2  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:48] 4    -348322.06 [     4611.6  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:49] 5    -348210.72 [     4609.0  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:50] 6    -348030.42 [     4604.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:51] 7    -347738.27 [     4597.9  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:51] 8    -347264.51 [     4586.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:52] 9    -346495.14 [     4568.9  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:53] 10   -345242.89 [     4539.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:54] 11   -343197.19 [     4492.9  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:54] 12   -339835.28 [     4416.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:55] 13   -334256.29 [     4293.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:56] 14   -324849.96 [     4094.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:57] 15   -308574.93 [     3772.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:58] 16   -279233.24 [     3251.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:58] 17   -223447.04 [     2408.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:23:59] 18   -135107.99 [     1044.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:00] 24   -162248.31 [     1565.8  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:01] 25   -146171.01 [     1305.3  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:01] 26   -137130.32 [      638.6  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:02] 27    -132422.3 [      876.7  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:03] 28   -132450.67 [      839.4  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:04] 29    -132636.5 [      914.1  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:04] 30    -132422.3 [      876.7  426725.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:05] 31    -132422.1 [      876.7  426726.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:06] 32   -132421.79 [      876.7  426728.1    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:07] 33   -132387.31 [      876.7  426904.5    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:07] 34    -131503.3 [      876.7  443952.9    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
[24-11-02 03:24:08] 35   -156402.04 [      876.7  471537.9    3847.7    4153.8  259968.1    1067.2  222994.7    1078.3     773.4  7.87e-05  7.95e-05  9.76e-06 ]
