[24-10-31 14:52:51] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 14:52:51] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 14:52:51] 0            p0 [    17841.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:51] 1     -44457.94 [    17841.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 2     -44457.94 [    17841.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 3     -44457.91 [    17842.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 4     -44457.88 [    17843.6   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 5     -44453.98 [    18020.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 6     -44404.25 [    21678.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:52] 7      -44388.7 [    27596.7   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:53] 8     -44388.86 [    25784.8   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:53] 9     -44412.39 [    37173.4   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:53] 10    -44394.63 [    31254.7   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:53] 11    -44389.37 [    25335.9   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:53] 12    -44388.44 [    26925.2   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:54] 13    -44388.44 [    26814.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:54] 14    -44388.44 [    26724.3   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:54] 15    -44388.44 [    26814.0   16538.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:54] 16     -44388.7 [    26814.0   16539.0   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:54] 17     -44388.0 [    26814.0   16536.4   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:55] 18    -44387.31 [    26814.0   16533.8   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:55] 19    -44386.18 [    26814.0   16529.5   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:55] 20    -44384.35 [    26814.0   16522.7   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:55] 21    -44381.39 [    26814.0   16511.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:56] 22     -44376.6 [    26814.0   16493.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:56] 23    -44368.85 [    26814.0   16464.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:56] 24    -44356.27 [    26814.0   16417.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:56] 25    -44335.84 [    26814.0   16341.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:56] 26    -44302.62 [    26814.0   16218.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:57] 27    -44248.39 [    26814.0   16019.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:57] 28    -44159.44 [    26814.0   15697.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:57] 29    -44012.38 [    26814.0   15176.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:57] 30    -43766.62 [    26814.0   14333.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:58] 31    -43351.76 [    26814.0   12969.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:58] 32    -42669.49 [    26814.0   10762.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:58] 33    -42099.83 [    26814.0    7191.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:58] 34    -42666.39 [    26814.0    5896.9   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:59] 35    -42132.47 [    26814.0    8555.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:59] 36    -42063.69 [    26814.0    7712.6   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:59] 37     -42064.5 [    26814.0    7800.9   43831.1    8328.9   15873.4 ]
[24-10-31 14:52:59] 38    -42064.69 [    26814.0    7624.4   43831.1    8328.9   15873.4 ]
