[24-11-01 12:16:58] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:16:58] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:16:58] 0            p0 [    29426.6   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:58] 1     -11591.67 [    29426.6   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:58] 2     -11591.67 [    29426.6   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 3     -11590.93 [    29427.6   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 4     -11589.71 [    29429.2   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 5     -11458.72 [    29605.6   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 6      -5541.51 [    41985.2   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 8      -3770.12 [    49636.2   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 10     -4544.28 [    45810.7   90246.1   12431.7   18869.7 ]
[24-11-01 12:16:59] 12     -4043.35 [    48175.0   90246.1   12431.7   18869.7 ]
[24-11-01 12:17:00] 14     -3871.46 [    49078.0   90246.1   12431.7   18869.7 ]
[24-11-01 12:17:00] 15     -3723.52 [    49899.7   90246.1   12431.7   18869.7 ]
[24-11-01 12:17:00] 17     -3723.52 [    49899.7   90246.1   12431.7   18869.7 ]
[24-11-01 12:17:00] 18     -3723.52 [    49899.7   90247.1   12431.7   18869.7 ]
[24-11-01 12:17:00] 19     -3723.51 [    49899.7   90248.8   12431.7   18869.7 ]
[24-11-01 12:17:01] 20     -3722.82 [    49899.7   90425.1   12431.7   18869.7 ]
[24-11-01 12:17:01] 21     -3709.58 [    49899.7   97261.4   12431.7   18869.7 ]
[24-11-01 12:17:01] 22     -3742.29 [    49899.7  108322.6   12431.7   18869.7 ]
[24-11-01 12:17:01] 23     -3714.27 [    49899.7  101486.4   12431.7   18869.7 ]
[24-11-01 12:17:01] 24     -3711.57 [    49899.7   94650.1   12431.7   18869.7 ]
[24-11-01 12:17:01] 25     -3709.58 [    49899.7   97348.6   12431.7   18869.7 ]
[24-11-01 12:17:02] 26     -3709.58 [    49899.7   97419.6   12431.7   18869.7 ]
[24-11-01 12:17:02] 27     -3709.58 [    49899.7   97348.6   12431.7   18869.7 ]
[24-11-01 12:17:02] 28     -3709.28 [    49899.7   97348.6   12432.7   18869.7 ]
[24-11-01 12:17:02] 29      -3708.8 [    49899.7   97348.6   12434.3   18869.7 ]
[24-11-01 12:17:02] 30     -3657.86 [    49899.7   97348.6   12610.7   18869.7 ]
[24-11-01 12:17:02] 31     -2912.33 [    49899.7   97348.6   16618.1   18869.7 ]
[24-11-01 12:17:03] 32     -2467.34 [    49899.7   97348.6   23102.2   18869.7 ]
[24-11-01 12:17:03] 33     -2473.94 [    49899.7   97348.6   22926.3   18869.7 ]
[24-11-01 12:17:03] 34     -2279.11 [    49899.7   97348.6   33593.7   18869.7 ]
[24-11-01 12:17:03] 35     -2297.97 [    49899.7   97348.6   31352.4   18869.7 ]
[24-11-01 12:17:03] 36     -2248.21 [    49899.7   97348.6   50569.3   18869.7 ]
[24-11-01 12:17:04] 37      -2247.4 [    49899.7   97348.6   43632.0   18869.7 ]
[24-11-01 12:17:04] 38     -2252.69 [    49899.7   97348.6   39797.7   18869.7 ]
[24-11-01 12:17:04] 39     -2246.54 [    49899.7   97348.6   46281.8   18869.7 ]
[24-11-01 12:17:04] 40     -2246.55 [    49899.7   97348.6   45943.3   18869.7 ]
[24-11-01 12:17:04] 41     -2246.55 [    49899.7   97348.6   46620.3   18869.7 ]
[24-11-01 12:17:04] 42     -2246.54 [    49899.7   97348.6   46281.8   18869.7 ]
[24-11-01 12:17:05] 43     -2246.55 [    49899.7   97348.6   46281.8   18870.7 ]
[24-11-01 12:17:05] 44     -2246.52 [    49899.7   97348.6   46281.8   18868.0 ]
[24-11-01 12:17:05] 45      -2245.2 [    49899.7   97348.6   46281.8   18691.7 ]
[24-11-01 12:17:05] 46     -2244.31 [    49899.7   97348.6   46281.8   18364.7 ]
