[24-11-01 12:13:32] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:13:32] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:13:32] 0            p0 [    33649.4  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:32] 1      -1524.65 [    33649.4  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:32] 2      -1524.65 [    33649.4  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 3      -1524.39 [    33650.4  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 4      -1523.98 [    33652.0  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 5      -1479.67 [    33828.4  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 6       -628.24 [    39619.7  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 7       -758.95 [    48990.1  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:33] 8       -524.82 [    43198.8  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:34] 9       -567.08 [    45410.9  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:34] 10       -524.6 [    43103.3  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:34] 11      -524.53 [    42994.3  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:34] 12      -538.72 [    41705.3  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:34] 13      -524.62 [    42900.8  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:35] 14      -524.53 [    42994.3  103532.8   14072.9   18388.6 ]
[24-11-01 12:13:35] 15      -524.52 [    42994.3  103533.8   14072.9   18388.6 ]
[24-11-01 12:13:35] 16       -524.5 [    42994.3  103535.4   14072.9   18388.6 ]
[24-11-01 12:13:35] 17      -522.33 [    42994.3  103711.8   14072.9   18388.6 ]
[24-11-01 12:13:35] 18      -434.72 [    42994.3  117898.7   14072.9   18388.6 ]
[24-11-01 12:13:35] 19      -646.38 [    42994.3  140853.8   14072.9   18388.6 ]
[24-11-01 12:13:36] 20      -464.91 [    42994.3  126666.8   14072.9   18388.6 ]
[24-11-01 12:13:36] 21      -448.06 [    42994.3  112479.8   14072.9   18388.6 ]
[24-11-01 12:13:36] 22       -434.7 [    42994.3  118146.7   14072.9   18388.6 ]
[24-11-01 12:13:36] 23      -434.71 [    42994.3  118292.8   14072.9   18388.6 ]
[24-11-01 12:13:36] 24       -434.7 [    42994.3  118146.7   14072.9   18388.6 ]
[24-11-01 12:13:36] 25      -434.56 [    42994.3  118146.7   14073.9   18388.6 ]
[24-11-01 12:13:37] 26      -434.32 [    42994.3  118146.7   14075.5   18388.6 ]
[24-11-01 12:13:37] 27      -410.03 [    42994.3  118146.7   14251.9   18388.6 ]
[24-11-01 12:13:37] 28      -218.07 [    42994.3  118146.7   16595.4   18388.6 ]
[24-11-01 12:13:37] 29       -197.0 [    42994.3  118146.7   20387.3   18388.6 ]
[24-11-01 12:13:37] 30      -178.98 [    42994.3  118146.7   18714.6   18388.6 ]
[24-11-01 12:13:37] 31      -183.69 [    42994.3  118146.7   17905.2   18388.6 ]
[24-11-01 12:13:38] 32      -182.05 [    42994.3  118146.7   19353.6   18388.6 ]
[24-11-01 12:13:38] 33      -178.97 [    42994.3  118146.7   18668.2   18388.6 ]
[24-11-01 12:13:38] 34       -179.0 [    42994.3  118146.7   18622.3   18388.6 ]
[24-11-01 12:13:38] 35      -178.97 [    42994.3  118146.7   18668.2   18388.6 ]
[24-11-01 12:13:38] 36      -179.01 [    42994.3  118146.7   18668.2   18389.6 ]
[24-11-01 12:13:39] 37      -178.91 [    42994.3  118146.7   18668.2   18387.0 ]
[24-11-01 12:13:39] 38      -172.34 [    42994.3  118146.7   18668.2   18210.7 ]
[24-11-01 12:13:39] 39      -160.08 [    42994.3  118146.7   18668.2   17368.8 ]
[24-11-01 12:13:39] 40      -226.42 [    42994.3  118146.7   18668.2   16006.7 ]
[24-11-01 12:13:39] 41      -171.05 [    42994.3  118146.7   18668.2   16848.5 ]
[24-11-01 12:13:39] 42      -160.76 [    42994.3  118146.7   18668.2   17690.4 ]
[24-11-01 12:13:40] 43      -159.71 [    42994.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:40] 44      -159.71 [    42994.3  118146.7   18668.2   17482.5 ]
[24-11-01 12:13:40] 45      -159.72 [    42994.3  118146.7   18668.2   17500.4 ]
[24-11-01 12:13:40] 47      -159.71 [    42994.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:40] 48      -159.74 [    42995.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:40] 49      -159.67 [    42992.7  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:41] 50      -155.22 [    42816.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:41] 51       -137.6 [    41223.5  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:41] 52      -210.28 [    38646.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:41] 53       -149.2 [    40239.1  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:41] 54      -139.32 [    41831.9  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 55      -137.42 [    41373.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 56      -137.42 [    41357.0  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 57      -137.42 [    41389.5  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 58      -137.42 [    41373.3  118146.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 59      -137.42 [    41373.3  118147.7   18668.2   17491.4 ]
[24-11-01 12:13:42] 60      -137.42 [    41373.3  118145.0   18668.2   17491.4 ]
[24-11-01 12:13:43] 61      -137.41 [    41373.3  117998.2   18668.2   17491.4 ]
[24-11-01 12:13:43] 62      -137.43 [    41373.3  117760.6   18668.2   17491.4 ]
[24-11-01 12:13:43] 63      -137.41 [    41373.3  117907.4   18668.2   17491.4 ]
[24-11-01 12:13:43] 64      -137.41 [    41373.3  118054.3   18668.2   17491.4 ]
[24-11-01 12:13:43] 65      -137.41 [    41373.3  117999.7   18668.2   17491.4 ]
[24-11-01 12:13:44] 66      -137.41 [    41373.3  117996.7   18668.2   17491.4 ]
[24-11-01 12:13:44] 67      -137.41 [    41373.3  117998.2   18668.2   17491.4 ]
[24-11-01 12:13:44] 68      -137.41 [    41373.3  117998.2   18669.2   17491.4 ]
[24-11-01 12:13:44] 69      -137.41 [    41373.3  117998.2   18666.6   17491.4 ]
[24-11-01 12:13:44] 70      -137.38 [    41373.3  117998.2   18608.2   17491.4 ]
[24-11-01 12:13:44] 71      -137.45 [    41373.3  117998.2   18513.8   17491.4 ]
[24-11-01 12:13:45] 72      -137.39 [    41373.3  117998.2   18572.2   17491.4 ]
