[24-10-31 14:59:01] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 14:59:01] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 14:59:01] 0            p0 [    24510.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:01] 1     -29328.17 [    24510.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:01] 2     -29328.17 [    24510.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:01] 3     -29328.17 [    24511.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:02] 4     -29328.16 [    24513.2   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:02] 5     -29327.69 [    24689.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:02] 6     -29325.97 [    25919.3   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:02] 7     -29327.89 [    27909.2   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:03] 8     -29326.11 [    26679.4   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:03] 9     -29326.31 [    25449.6   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:03] 10    -29325.92 [    26174.2   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:03] 11    -29325.92 [    26157.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:04] 12    -29325.92 [    26141.1   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:04] 13    -29325.92 [    26157.5   15506.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:04] 14    -29326.24 [    26157.5   15507.9   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:04] 15    -29325.41 [    26157.5   15505.3   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:05] 16    -29324.59 [    26157.5   15502.7   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:05] 17    -29323.26 [    26157.5   15498.4   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:05] 18     -29321.1 [    26157.5   15491.6   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:05] 19    -29317.61 [    26157.5   15480.5   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:06] 20    -29311.95 [    26157.5   15462.6   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:06] 21     -29302.8 [    26157.5   15433.5   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:06] 22    -29287.96 [    26157.5   15386.5   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:06] 23    -29263.89 [    26157.5   15310.5   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:07] 24    -29224.79 [    26157.5   15187.5   51899.0    5394.2   20701.7 ]
[24-10-31 14:59:07] 25    -29161.15 [    26157.5   14988.5   51899.0    5394.2   20701.7 ]
