[24-11-02 01:14:53] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-02 01:14:53] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-02 01:14:53] 0            p0 [     5151.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:14:55] 1     -35770.35 [     5151.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:14:56] 2     -35770.35 [     5151.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:14:58] 3      -35756.3 [     5152.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:14:59] 4     -35733.57 [     5153.8  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:01] 5     -33356.34 [     5330.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:02] 6     -17234.45 [     7361.0  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:04] 7     -14919.04 [    10647.1  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:05] 8     -13833.82 [     9263.0  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:06] 9     -14272.48 [     8536.5  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:08] 10    -13998.68 [     9791.7  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:09] 11    -13833.73 [     9313.6  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:10] 12    -13836.32 [     9355.2  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:10] 13    -13833.73 [     9313.6  500538.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:11] 14     -13833.8 [     9313.6  500539.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:12] 15    -13833.61 [     9313.6  500536.8    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:13] 16     -13820.5 [     9313.6  500360.4    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:14] 17    -12817.24 [     9313.6  481136.6    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:14] 18    -12626.42 [     9313.6  467871.5    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:15] 19    -13243.85 [     9313.6  446408.1    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:16] 20    -12722.21 [     9313.6  459673.2    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:17] 21    -12649.76 [     9313.6  472938.3    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:17] 22    -12625.94 [     9313.6  468529.2    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:18] 23    -12626.08 [     9313.6  468849.3    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:19] 24    -12626.04 [     9313.6  468209.2    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:20] 25    -12625.94 [     9313.6  468529.2    2365.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:20] 26    -12629.15 [     9313.6  468529.2    2366.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:21] 27    -12620.77 [     9313.6  468529.2    2363.9    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:22] 28    -12265.66 [     9313.6  468529.2    2187.6    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:23] 29    -12230.31 [     9313.6  468529.2    2124.1    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:24] 30    -12262.62 [     9313.6  468529.2    2021.3    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
[24-11-02 01:15:24] 31    -12230.24 [     9313.6  468529.2    2084.8    2168.9  162759.2     784.7  143505.9     912.4     893.1  1.29e-04  1.21e-04  1.26e-05 ]
