[24-11-01 12:18:09] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:18:09] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:18:09] 0            p0 [    38994.9  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:09] 1      -4421.92 [    38994.9  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 2      -4421.92 [    38994.9  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 3      -4421.72 [    38995.9  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 4      -4421.41 [    38997.5  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 5      -4387.51 [    39173.9  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 6      -3109.19 [    49764.3  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:10] 9      -3454.34 [    45719.1  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:11] 10     -3264.81 [    47741.7  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:11] 13     -3164.99 [    48991.7  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:11] 15      -3130.0 [    49469.2  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:11] 16     -3099.58 [    49903.6  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:11] 18     -3099.58 [    49903.6  104291.4   10942.5   24742.5 ]
[24-11-01 12:18:12] 19     -3099.58 [    49903.6  104292.4   10942.5   24742.5 ]
[24-11-01 12:18:12] 20     -3099.57 [    49903.6  104289.8   10942.5   24742.5 ]
[24-11-01 12:18:12] 21     -3098.72 [    49903.6  104113.4   10942.5   24742.5 ]
[24-11-01 12:18:12] 22     -3077.52 [    49903.6   95126.2   10942.5   24742.5 ]
[24-11-01 12:18:12] 23     -3138.54 [    49903.6   80584.5   10942.5   24742.5 ]
[24-11-01 12:18:12] 24     -3086.64 [    49903.6   89571.8   10942.5   24742.5 ]
