[24-11-01 12:16:06] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:16:06] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:16:06] 0            p0 [    39518.4  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 1      -2434.41 [    39518.4  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 2      -2434.41 [    39518.4  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 3      -2434.36 [    39519.4  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 4      -2434.28 [    39521.0  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 5      -2425.12 [    39697.3  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:07] 7      -2208.77 [    44705.5  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:08] 8      -2108.11 [    47800.7  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:08] 9      -2055.31 [    49713.7  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:08] 11     -2074.72 [    48983.0  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:08] 13     -2062.62 [    49434.6  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:08] 14     -2050.85 [    49886.2  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:09] 15     -2048.12 [    49992.8  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:09] 16     -2048.12 [    49992.8  109328.3   15874.8   24653.2 ]
[24-11-01 12:16:09] 17      -2048.1 [    49992.8  109329.3   15874.8   24653.2 ]
[24-11-01 12:16:09] 18     -2048.08 [    49992.8  109330.9   15874.8   24653.2 ]
[24-11-01 12:16:09] 19     -2045.18 [    49992.8  109507.3   15874.8   24653.2 ]
[24-11-01 12:16:10] 20     -1808.96 [    49992.8  128731.1   15874.8   24653.2 ]
[24-11-01 12:16:10] 21     -1727.18 [    49992.8  147761.0   15874.8   24653.2 ]
[24-11-01 12:16:10] 22     -1899.64 [    49992.8  178552.0   15874.8   24653.2 ]
