[24-11-01 12:11:28] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:11:28] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:11:28] 0            p0 [    36011.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 1     -12469.45 [    36011.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 2     -12469.45 [    36011.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 3     -12469.06 [    36012.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 4     -12468.42 [    36014.0  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 5     -12399.22 [    36190.3  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:28] 7     -10333.66 [    42498.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 8      -9365.02 [    46396.9  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 9      -8852.77 [    48806.4  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 11     -9041.56 [    47886.0  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 12     -8740.08 [    49375.1  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 13     -8671.89 [    49726.7  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 14      -8630.3 [    49943.9  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:29] 16      -8630.3 [    49943.9  119806.7   16729.3   16693.9 ]
[24-11-01 12:11:30] 17      -8630.3 [    49943.9  119807.7   16729.3   16693.9 ]
[24-11-01 12:11:30] 18     -8630.28 [    49943.9  119805.1   16729.3   16693.9 ]
[24-11-01 12:11:30] 19     -8628.82 [    49943.9  119628.7   16729.3   16693.9 ]
[24-11-01 12:11:30] 20     -8544.08 [    49943.9  100404.9   16729.3   16693.9 ]
[24-11-01 12:11:30] 21     -8543.86 [    49943.9   99066.9   16729.3   16693.9 ]
[24-11-01 12:11:30] 22     -8545.12 [    49943.9   96902.1   16729.3   16693.9 ]
[24-11-01 12:11:30] 23     -8544.11 [    49943.9   98240.0   16729.3   16693.9 ]
[24-11-01 12:11:31] 24     -8543.85 [    49943.9   99578.0   16729.3   16693.9 ]
[24-11-01 12:11:31] 25     -8543.88 [    49943.9   99780.3   16729.3   16693.9 ]
[24-11-01 12:11:31] 26     -8543.84 [    49943.9   99375.7   16729.3   16693.9 ]
[24-11-01 12:11:31] 27     -8543.84 [    49943.9   99375.7   16729.3   16693.9 ]
[24-11-01 12:11:31] 28      -8543.7 [    49943.9   99375.7   16730.3   16693.9 ]
[24-11-01 12:11:31] 29     -8543.46 [    49943.9   99375.7   16731.9   16693.9 ]
[24-11-01 12:11:32] 30     -8518.15 [    49943.9   99375.7   16908.3   16693.9 ]
[24-11-01 12:11:32] 31     -7937.77 [    49943.9   99375.7   23089.9   16693.9 ]
[24-11-01 12:11:32] 32     -7558.36 [    49943.9   99375.7   33091.9   16693.9 ]
[24-11-01 12:11:32] 33     -7547.43 [    49943.9   99375.7   33576.8   16693.9 ]
[24-11-01 12:11:32] 34     -7530.63 [    49943.9   99375.7   34361.4   16693.9 ]
[24-11-01 12:11:32] 35     -7367.08 [    49943.9   99375.7   46021.4   16693.9 ]
[24-11-01 12:11:33] 36     -7255.28 [    49943.9   99375.7   64887.6   16693.9 ]
[24-11-01 12:11:33] 37     -7249.11 [    49943.9   99375.7   66619.2   16693.9 ]
[24-11-01 12:11:33] 38      -7240.0 [    49943.9   99375.7   69421.0   16693.9 ]
[24-11-01 12:11:33] 39     -7192.16 [    49943.9   99375.7   91900.4   16693.9 ]
[24-11-01 12:11:33] 42     -7206.42 [    49943.9   99375.7   83314.0   16693.9 ]
[24-11-01 12:11:33] 43     -7198.82 [    49943.9   99375.7   87607.2   16693.9 ]
[24-11-01 12:11:33] 44     -7184.97 [    49943.9   99375.7   97207.0   16693.9 ]
[24-11-01 12:11:34] 46     -7187.59 [    49943.9   99375.7   95180.0   16693.9 ]
[24-11-01 12:11:34] 47     -7183.42 [    49943.9   99375.7   98459.7   16693.9 ]
[24-11-01 12:11:34] 48     -7182.44 [    49943.9   99375.7   99277.0   16693.9 ]
[24-11-01 12:11:34] 49     -7182.44 [    49943.9   99375.7   99277.0   16693.9 ]
[24-11-01 12:11:34] 50     -7182.37 [    49943.9   99375.7   99277.0   16694.9 ]
[24-11-01 12:11:34] 51     -7182.26 [    49943.9   99375.7   99277.0   16696.5 ]
[24-11-01 12:11:35] 52     -7170.65 [    49943.9   99375.7   99277.0   16872.9 ]
[24-11-01 12:11:35] 53      -7083.1 [    49943.9   99375.7   99277.0   19154.4 ]
[24-11-01 12:11:35] 54     -7088.35 [    49943.9   99375.7   99277.0   22845.9 ]
[24-11-01 12:11:35] 55     -7070.24 [    49943.9   99375.7   99277.0   20564.4 ]
[24-11-01 12:11:35] 56     -7072.59 [    49943.9   99375.7   99277.0   21435.9 ]
[24-11-01 12:11:35] 57     -7070.17 [    49943.9   99375.7   99277.0   20740.0 ]
[24-11-01 12:11:36] 58     -7070.16 [    49943.9   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:36] 59     -7070.16 [    49943.9   99375.7   99277.0   20658.1 ]
[24-11-01 12:11:36] 61     -7070.16 [    49943.9   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:36] 62     -7069.98 [    49944.9   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:36] 63     -7069.69 [    49946.6   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:36] 66     -7065.08 [    49972.3   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 67     -7067.39 [    49959.4   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 68     -7062.24 [    49988.2   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 69     -7060.49 [    49998.0   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 71     -7061.16 [    49994.3   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 73     -7060.74 [    49996.6   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 74     -7060.33 [    49998.9   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:37] 75     -7060.23 [    49999.5   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:38] 76     -7060.23 [    49999.5   99375.7   99277.0   20698.2 ]
[24-11-01 12:11:38] 77     -7060.21 [    49999.5   99376.7   99277.0   20698.2 ]
[24-11-01 12:11:38] 78     -7060.18 [    49999.5   99378.3   99277.0   20698.2 ]
[24-11-01 12:11:38] 79     -7057.07 [    49999.5   99554.7   99277.0   20698.2 ]
[24-11-01 12:11:38] 80     -6789.63 [    49999.5  118778.5   99277.0   20698.2 ]
[24-11-01 12:11:38] 81     -6644.63 [    49999.5  145373.4   99277.0   20698.2 ]
[24-11-01 12:11:39] 82     -6919.88 [    49999.5  188404.7   99277.0   20698.2 ]
[24-11-01 12:11:39] 83     -6678.42 [    49999.5  161809.9   99277.0   20698.2 ]
[24-11-01 12:11:39] 84     -6670.16 [    49999.5  135215.0   99277.0   20698.2 ]
[24-11-01 12:11:39] 85     -6643.84 [    49999.5  147608.3   99277.0   20698.2 ]
[24-11-01 12:11:39] 86     -6643.87 [    49999.5  147125.9   99277.0   20698.2 ]
[24-11-01 12:11:40] 87     -6643.89 [    49999.5  148090.6   99277.0   20698.2 ]
[24-11-01 12:11:40] 88     -6643.84 [    49999.5  147608.3   99277.0   20698.2 ]
[24-11-01 12:11:40] 89     -6643.84 [    49999.5  147608.3   99278.0   20698.2 ]
[24-11-01 12:11:40] 90     -6643.84 [    49999.5  147608.3   99279.7   20698.2 ]
[24-11-01 12:11:40] 91     -6643.68 [    49999.5  147608.3   99456.0   20698.2 ]
[24-11-01 12:11:40] 96     -6643.34 [    49999.5  147608.3   99865.2   20698.2 ]
[24-11-01 12:11:41] 97     -6643.51 [    49999.5  147608.3   99660.6   20698.2 ]
[24-11-01 12:11:41] 99     -6643.25 [    49999.5  147608.3   99961.8   20698.2 ]
[24-11-01 12:11:41] 101    -6643.28 [    49999.5  147608.3   99924.9   20698.2 ]
[24-11-01 12:11:41] 102    -6643.23 [    49999.5  147608.3   99984.6   20698.2 ]
[24-11-01 12:11:41] 103    -6643.22 [    49999.5  147608.3   99998.7   20698.2 ]
[24-11-01 12:11:41] 105    -6643.22 [    49999.5  147608.3   99998.7   20698.2 ]
[24-11-01 12:11:42] 106     -6643.1 [    49999.5  147608.3   99998.7   20699.2 ]
[24-11-01 12:11:42] 107     -6642.9 [    49999.5  147608.3   99998.7   20700.8 ]
