[24-11-01 12:13:22] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:13:22] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:13:22] 0            p0 [    30491.2  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:22] 1      -4481.57 [    30491.2  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:22] 2      -4481.57 [    30491.2  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:22] 3       -4481.3 [    30492.2  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:22] 4      -4480.85 [    30493.8  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 5      -4432.97 [    30670.2  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 6      -2580.17 [    41231.9  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 8      -2014.43 [    47759.3  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 10     -2262.99 [    44495.6  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 11     -1915.98 [    49300.3  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:23] 13     -1952.31 [    48711.7  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:24] 14     -1894.27 [    49664.0  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:24] 15     -1881.12 [    49888.8  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:24] 16     -1881.12 [    49888.8  125844.5   12490.3   19602.1 ]
[24-11-01 12:13:24] 17     -1881.13 [    49888.8  125845.5   12490.3   19602.1 ]
[24-11-01 12:13:24] 18     -1881.11 [    49888.8  125842.9   12490.3   19602.1 ]
[24-11-01 12:13:25] 19     -1879.49 [    49888.8  125666.5   12490.3   19602.1 ]
[24-11-01 12:13:25] 20     -1812.27 [    49888.8  110676.2   12490.3   19602.1 ]
[24-11-01 12:13:25] 21     -2010.51 [    49888.8   86421.2   12490.3   19602.1 ]
[24-11-01 12:13:25] 22     -1842.07 [    49888.8  101411.6   12490.3   19602.1 ]
[24-11-01 12:13:25] 23     -1821.37 [    49888.8  116402.0   12490.3   19602.1 ]
[24-11-01 12:13:25] 24     -1812.23 [    49888.8  111060.2   12490.3   19602.1 ]
[24-11-01 12:13:26] 25     -1812.23 [    49888.8  110912.3   12490.3   19602.1 ]
[24-11-01 12:13:26] 26     -1812.24 [    49888.8  111208.0   12490.3   19602.1 ]
[24-11-01 12:13:26] 27     -1812.23 [    49888.8  111060.2   12490.3   19602.1 ]
