[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:32:47] 0            p0 [    21625.8    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:48] 1     -31206.36 [    21625.8    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:49] 2     -31206.36 [    21625.8    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:50] 3     -31210.83 [    21626.8    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:51] 4     -31199.14 [    21624.2    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:53] 5      -30432.5 [    21447.8    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:54] 6     -22961.09 [    18239.1    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:55] 7     -30406.87 [    13047.2    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:56] 8     -23499.86 [    16255.9    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:57] 9      -24461.5 [    19464.7    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:32:59] 10    -22761.73 [    17538.9    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:33:00] 11    -22761.09 [    17579.7    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:33:01] 12    -22761.92 [    17620.2    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
[24-11-05 14:33:03] 13    -22761.09 [    17579.7    4682.0  517404.1    2846.8    3459.4   38318.1   32020.3  1.10e-05 ]
