0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.038    0.038 _axes.py:1(<module>)
     6800    0.004    0.000    0.038    0.000 __init__.py:272(_compile)
        2    0.001    0.001    0.036    0.018 sample_sets.py:20(__init__)
    47287    0.033    0.000    0.033    0.000 {built-in method numpy.arange}
        1    0.001    0.001    0.032    0.032 numeric.py:1(<module>)
      209    0.001    0.000    0.031    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.031    0.031 patches.py:1(<module>)
        1    0.000    0.000    0.031    0.031 _base.py:1(<module>)
        1    0.000    0.000    0.031    0.031 axes3d.py:1(<module>)
      332    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      332    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      223    0.009    0.000    0.028    0.000 artist.py:1517(get_setters)
     5768    0.002    0.000    0.028    0.000 __init__.py:173(search)
  336/331    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
   187006    0.026    0.000    0.026    0.000 vcf_util.py:271(position)
      464    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        9    0.000    0.000    0.025    0.003 _base.py:729(__init_subclass__)
   187006    0.023    0.000    0.023    0.000 vcf_util.py:292(formats)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
        3    0.000    0.000    0.022    0.007 core.py:1(<module>)
     1544    0.022    0.000    0.022    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.022    0.022 pathlib.py:1(<module>)
   187050    0.021    0.000    0.021    0.000 gzip.py:323(closed)
   187034    0.021    0.000    0.021    0.000 {method 'strip' of 'bytes' objects}
344473/343361    0.020    0.000    0.020    0.000 {built-in method builtins.len}
   202115    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
      209    0.001    0.000    0.019    0.000 _parser.py:970(parse)
      136    0.000    0.000    0.019    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.019    0.000 _docstring.py:79(__call__)
      703    0.000    0.000    0.018    0.000 inspect.py:3277(signature)
  454/209    0.001    0.000    0.018    0.000 _parser.py:447(_parse_sub)
        1    0.000    0.000    0.018    0.018 colors.py:1(<module>)
      703    0.000    0.000    0.018    0.000 inspect.py:3023(from_callable)
  769/703    0.003    0.000    0.017    0.000 inspect.py:2426(_signature_from_callable)
  484/212    0.007    0.000    0.017    0.000 _parser.py:507(_parse)
       30    0.003    0.000    0.017    0.001 __init__.py:847(_rc_params_in_file)
       37    0.014    0.000    0.017    0.000 __init__.py:348(namedtuple)
        1    0.000    0.000    0.016    0.016 textpath.py:1(<module>)
   116693    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.016    0.016 art3d.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pickle.py:1(<module>)
      289    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       12    0.000    0.000    0.015    0.001 _docstring.py:51(__missing__)
   187023    0.015    0.000    0.015    0.000 {method 'index' of 'list' objects}
       27    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
        2    0.000    0.000    0.015    0.007 shape_base.py:1(<module>)
       27    0.013    0.000    0.015    0.001 {built-in method _imp.create_dynamic}
      223    0.008    0.000    0.014    0.000 artist.py:1453(<listcomp>)
        1    0.000    0.000    0.014    0.014 mathtext.py:1(<module>)
       58    0.000    0.000    0.014    0.000 __init__.py:225(compile)
      317    0.002    0.000    0.014    0.000 overrides.py:142(decorator)
       14    0.000    0.000    0.013    0.001 typing.py:2815(__new__)
        1    0.000    0.000    0.013    0.013 _mathtext.py:1(<module>)
       14    0.000    0.000    0.013    0.001 typing.py:2795(_make_nmtuple)
      689    0.004    0.000    0.012    0.000 inspect.py:2331(_signature_from_function)
        1    0.000    0.000    0.012    0.012 _axes.py:46(Axes)
        1    0.000    0.000    0.012    0.012 font_manager.py:1(<module>)
        1    0.000    0.000    0.012    0.012 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
      209    0.000    0.000    0.011    0.000 _compiler.py:571(_code)
        2    0.000    0.000    0.011    0.005 core.py:206(read_style_directory)
      336    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     9934    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
       40    0.011    0.000    0.011    0.000 {built-in method io.open}
      973    0.001    0.000    0.010    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.010    0.010 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
     6182    0.006    0.000    0.010    0.000 inspect.py:2683(__init__)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
     1853    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
      447    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
