0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ExifTags.py:295(<dictcomp>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     3116    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1102    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
      160    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       17    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
       29    0.000    0.000    0.000    0.000 core.py:5682(__init__)
       33    0.000    0.000    0.000    0.000 core.py:3043(__init__)
      868    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      453    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
      798    0.000    0.000    0.000    0.000 __init__.py:966(<lambda>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
       16    0.000    0.000    0.000    0.000 core.py:1561(__or__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:528(_init_fn)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
      855    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       76    0.000    0.000    0.000    0.000 rcsetup.py:91(<listcomp>)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
      361    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
      579    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        4    0.000    0.000    0.000    0.000 function_base.py:1324(diff)
       22    0.000    0.000    0.000    0.000 core.py:4077(_generateDefaultName)
      146    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
       37    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
  424/327    0.000    0.000    0.000    0.000 typing.py:1351(__hash__)
      516    0.000    0.000    0.000    0.000 enum.py:750(__delattr__)
      662    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       42    0.000    0.000    0.000    0.000 core.py:2438(__init__)
      459    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        2    0.000    0.000    0.000    0.000 __init__.py:514(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      114    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
       38    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
  196/166    0.000    0.000    0.000    0.000 typing.py:1637(__hash__)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:2360(Figure)
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_make_selector)
        4    0.000    0.000    0.000    0.000 core.py:1479(__mul__)
      147    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:350(__init__)
      187    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       16    0.000    0.000    0.000    0.000 core.py:4263(__init__)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:865(sort)
      546    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      679    0.000    0.000    0.000    0.000 enum.py:192(__get__)
      871    0.000    0.000    0.000    0.000 typing.py:1345(__eq__)
        1    0.000    0.000    0.000    0.000 pathlib.py:261(compile_pattern)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
      170    0.000    0.000    0.000    0.000 cm.py:89(__getitem__)
  799/582    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       34    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
     2527    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      103    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
  306/282    0.000    0.000    0.000    0.000 results.py:171(__init__)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
       14    0.000    0.000    0.000    0.000 core.py:5899(__init__)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
       78    0.000    0.000    0.000    0.000 core.py:4078(<genexpr>)
       66    0.000    0.000    0.000    0.000 typing.py:1624(<genexpr>)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
      418    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        4    0.000    0.000    0.000    0.000 gzip.py:25(open)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
      585    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
       22    0.000    0.000    0.000    0.000 pathlib.py:485(_parse_args)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
       11    0.000    0.000    0.000    0.000 version.py:45(parse)
       15    0.000    0.000    0.000    0.000 typing.py:1581(copy_with)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       14    0.000    0.000    0.000    0.000 pathlib.py:505(_from_parts)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 __init__.py:588(matplotlib_fname)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
     12/2    0.000    0.000    0.000    0.000 core.py:1538(makeOptionalList)
       11    0.000    0.000    0.000    0.000 pathlib.py:869(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       26    0.000    0.000    0.000    0.000 enum.py:1009(_find_new_)
     1868    0.000    0.000    0.000    0.000 typing.py:1663(<genexpr>)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
      202    0.000    0.000    0.000    0.000 gzip.py:463(_init_read)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        1    0.000    0.000    0.000    0.000 TiffTags.py:421(_populate)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
       11    0.000    0.000    0.000    0.000 version.py:186(__init__)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 core.py:456(DebugActions)
      537    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
     1490    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       43    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
       34    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
       29    0.000    0.000    0.000    0.000 pathlib.py:354(_select_from)
       91    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        4    0.000    0.000    0.000    0.000 gzip.py:134(__init__)
      661    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       48    0.000    0.000    0.000    0.000 typing.py:1536(<genexpr>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
       60    0.000    0.000    0.000    0.000 inspect.py:2752(replace)
       11    0.000    0.000    0.000    0.000 core.py:1697(__call__)
        4    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
        8    0.000    0.000    0.000    0.000 core.py:584(_setResultsName)
        7    0.000    0.000    0.000    0.000 core.py:1446(__radd__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        1    0.000    0.000    0.000    0.000 exceptions.py:25(ParseBaseException)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
      438    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2793(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 contour.py:72(ContourLabeler)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
      517    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      464    0.000    0.000    0.000    0.000 typing.py:1632(__eq__)
       80    0.000    0.000    0.000    0.000 enum.py:935(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
       44    0.000    0.000    0.000    0.000 typing.py:1006(__typing_subst__)
      502    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
      209    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       65    0.000    0.000    0.000    0.000 results.py:442(__iadd__)
        1    0.000    0.000    0.000    0.000 ticker.py:2240(LogLocator)
       23    0.000    0.000    0.000    0.000 core.py:5225(__init__)
       25    0.000    0.000    0.000    0.000 pathlib.py:55(parse_parts)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
       54    0.000    0.000    0.000    0.000 enum.py:981(_find_data_type_)
        6    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
       39    0.000    0.000    0.000    0.000 typing.py:316(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 __init__.py:552(get_configdir)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
       46    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
     1290    0.000    0.000    0.000    0.000 typing.py:1338(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       32    0.000    0.000    0.000    0.000 __init__.py:667(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
      209    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
       89    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
     1177    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      554    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
        3    0.000    0.000    0.000    0.000 pathlib.py:910(home)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       33    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
      607    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
       18    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
     1175    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
       51    0.000    0.000    0.000    0.000 pathlib.py:537(__str__)
      356    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      464    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      169    0.000    0.000    0.000    0.000 core.py:2422(__new__)
       44    0.000    0.000    0.000    0.000 results.py:547(copy)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
       65    0.000    0.000    0.000    0.000 inspect.py:2063(_signature_is_builtin)
        7    0.000    0.000    0.000    0.000 core.py:5904(__add__)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:151(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       39    0.000    0.000    0.000    0.000 pathlib.py:547(__fspath__)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        2    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
      289    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
     2107    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       81    0.000    0.000    0.000    0.000 typing.py:894(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3749(ParseExpression)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
       77    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
      195    0.000    0.000    0.000    0.000 inspect.py:1945(_signature_get_user_defined_method)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      114    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 common.py:430(<listcomp>)
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
       43    0.000    0.000    0.000    0.000 core.py:3107(_generateDefaultName)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       51    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
      406    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
        1    0.000    0.000    0.000    0.000 unicode.py:128(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
      209    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
       11    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       74    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        8    0.000    0.000    0.000    0.000 typing.py:2011(__init_subclass__)
        1    0.000    0.000    0.000    0.000 widgets.py:3809(PolygonSelector)
        1    0.000    0.000    0.000    0.000 helpers.py:1027(<listcomp>)
      318    0.000    0.000    0.000    0.000 __init__.py:781(__iter__)
      891    0.000    0.000    0.000    0.000 inspect.py:3031(parameters)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        6    0.000    0.000    0.000    0.000 enum.py:1494(__or__)
        3    0.000    0.000    0.000    0.000 enum.py:913(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:4535(ParseElementEnhance)
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 texmanager.py:56(TexManager)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
       52    0.000    0.000    0.000    0.000 enum.py:775(__getattr__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:992(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
      147    0.000    0.000    0.000    0.000 TiffTags.py:27(__new__)
      329    0.000    0.000    0.000    0.000 typing.py:868(__eq__)
        1    0.000    0.000    0.000    0.000 contour.py:716(ContourSet)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1378(expanduser)
        1    0.000    0.000    0.000    0.000 text.py:1615(Annotation)
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       67    0.000    0.000    0.000    0.000 results.py:204(__getitem__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
        1    0.000    0.000    0.000    0.000 version.py:36(_Version)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
        2    0.000    0.000    0.000    0.000 <frozen os>:688(__delitem__)
        1    0.000    0.000    0.000    0.000 util.py:14(__config_flags)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
        1    0.000    0.000    0.000    0.000 image.py:1034(NonUniformImage)
        2    0.000    0.000    0.000    0.000 typing.py:2891(__new__)
      190    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       27    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      406    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
      274    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:73(find_spec)
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
      154    0.000    0.000    0.000    0.000 core.py:790(preParse)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1671(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:3733(LassoSelector)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_data_path)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       12    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
       25    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        1    0.000    0.000    0.000    0.000 colorbar.py:195(Colorbar)
       28    0.000    0.000    0.000    0.000 pathlib.py:658(stem)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:456(InvertedLambertTransform)
        1    0.000    0.000    0.000    0.000 core.py:5111(__init__)
      826    0.000    0.000    0.000    0.000 inspect.py:2740(default)
       33    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
        1    0.000    0.000    0.000    0.000 core.py:5412(Forward)
       28    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       44    0.000    0.000    0.000    0.000 core.py:3986(<genexpr>)
        1    0.000    0.000    0.000    0.000 results.py:34(ParseResults)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 widgets.py:3051(ToolHandles)
        4    0.000    0.000    0.000    0.000 inspect.py:3063(__hash__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      768    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        7    0.000    0.000    0.000    0.000 core.py:3552(__init__)
        4    0.000    0.000    0.000    0.000 gzip.py:456(__init__)
        1    0.000    0.000    0.000    0.000 core.py:4967(_MultipleMatch)
       18    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
      263    0.000    0.000    0.000    0.000 core.py:3767(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:2940(ToolLineHandles)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        8    0.000    0.000    0.000    0.000 pathlib.py:766(__truediv__)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       21    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       78    0.000    0.000    0.000    0.000 util.py:110(get)
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f87ef99a2a0}
        2    0.000    0.000    0.000    0.000 function_base.py:5562(append)
       45    0.000    0.000    0.000    0.000 typing.py:277(_unpack_args)
        1    0.000    0.000    0.000    0.000 table.py:37(Cell)
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 vcf_util.py:24(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1379(_missing_)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
      312    0.000    0.000    0.000    0.000 typing.py:1668(__eq__)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 core.py:3886(_setResultsName)
       96    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        8    0.000    0.000    0.000    0.000 core.py:4968(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:2338(CompositeGenericTransform)
        8    0.000    0.000    0.000    0.000 pathlib.py:531(_make_child)
      160    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        6    0.000    0.000    0.000    0.000 pathlib.py:1246(is_dir)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1969(<listcomp>)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:4331(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
       22    0.000    0.000    0.000    0.000 core.py:1013(reset_cache)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f87f105f420}
        1    0.000    0.000    0.000    0.000 backend_bases.py:153(RendererBase)
       65    0.000    0.000    0.000    0.000 inspect.py:2075(_signature_is_functionlike)
