[24-11-02 02:45:59] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-02 02:45:59] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-02 02:45:59] 0            p0 [     4616.4  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:00] 1     -66381.45 [     4616.4  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:02] 2     -66381.45 [     4616.4  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:03] 3      -66375.2 [     4617.4  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:04] 4      -66365.1 [     4619.1  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:06] 5     -65316.54 [     4795.4  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:07] 6     -59171.43 [     6468.1  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:09] 7     -56320.08 [     9174.6  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:10] 8     -56507.24 [     8701.7  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:11] 9     -56803.31 [    13553.7  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:13] 10    -56176.94 [    10847.3  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:14] 11    -56338.73 [    11881.0  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:16] 12    -56156.38 [    10489.3  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:17] 13    -56154.84 [    10404.2  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:19] 14    -56154.59 [    10344.8  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:20] 15     -56155.0 [    10287.5  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:21] 16    -56154.59 [    10344.8  520216.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:23] 17    -56154.26 [    10344.8  520217.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:24] 18    -56153.72 [    10344.8  520218.9    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:26] 19    -56095.34 [    10344.8  520395.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:27] 20    -50247.49 [    10344.8  539619.1    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:29] 21    -32444.44 [    10344.8  640123.9    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:30] 24    -37107.69 [    10344.8  601734.5    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:32] 25    -34488.05 [    10344.8  620929.2    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:33] 26    -30660.59 [    10344.8  663849.9    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:34] 27    -29948.95 [    10344.8  678513.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:36] 28    -29654.17 [    10344.8  687575.8    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:37] 29    -29526.69 [    10344.8  693176.8    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:39] 30    -29468.68 [    10344.8  696638.3    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:40] 31    -29440.73 [    10344.8  698777.7    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:42] 32    -29440.73 [    10344.8  698777.7    3895.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:43] 33    -29451.14 [    10344.8  698777.7    3896.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:45] 34    -29423.92 [    10344.8  698777.7    3893.6    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
[24-11-02 02:46:46] 35    -27737.57 [    10344.8  698777.7    3717.3    3164.5  245430.4    1282.4  190388.3    1080.0    1031.9  1.03e-04  1.23e-04  9.04e-06 ]
