[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:33:45] 46     -21818.8 [     9644.5   10868.5  715769.9     973.9    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:46] 47    -21972.49 [     9644.5   10868.5  715769.9    1355.7    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:48] 48    -21819.74 [     9644.5   10868.5  715769.9    1002.4    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:49] 49     -21818.8 [     9644.5   10868.5  715769.9     973.9    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:50] 50    -21817.98 [     9644.5   10868.5  715769.9     973.9    2496.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:52] 51    -21816.67 [     9644.5   10868.5  715769.9     973.9    2498.3   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:53] 52    -21696.41 [     9644.5   10868.5  715769.9     973.9    2674.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:54] 53    -21621.67 [     9644.5   10868.5  715769.9     973.9    3049.2   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:56] 54    -22181.91 [     9644.5   10868.5  715769.9     973.9    3655.3   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:57] 55    -21724.83 [     9644.5   10868.5  715769.9     973.9    3280.7   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:59] 56    -21617.88 [     9644.5   10868.5  715769.9     973.9    2906.1   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:00] 57    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:01] 58    -21614.27 [     9644.5   10868.5  715769.9     973.9    2961.1   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:03] 59    -21614.28 [     9644.5   10868.5  715769.9     973.9    2970.5   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:04] 60    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:05] 61    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27010.1   30784.0  8.52e-06 ]
[24-11-05 14:34:07] 62    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27011.7   30784.0  8.52e-06 ]
[24-11-05 14:34:08] 63    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:09] 64    -21614.22 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30785.0  8.52e-06 ]
[24-11-05 14:34:11] 65    -21614.16 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30786.6  8.52e-06 ]
[24-11-05 14:34:12] 66    -21608.41 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30963.0  8.52e-06 ]
[24-11-05 14:34:13] 67    -21598.28 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31635.1  8.52e-06 ]
[24-11-05 14:34:15] 68    -21618.05 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   32722.5  8.52e-06 ]
[24-11-05 14:34:16] 69    -21600.81 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   32050.4  8.52e-06 ]
[24-11-05 14:34:17] 70    -21600.01 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31378.3  8.52e-06 ]
[24-11-05 14:34:18] 71    -21598.24 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.52e-06 ]
[24-11-05 14:34:20] 72    -21598.24 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31674.1  8.52e-06 ]
[24-11-05 14:34:21] 73    -21598.24 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31692.1  8.52e-06 ]
[24-11-05 14:34:22] 74    -21598.24 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.52e-06 ]
[24-11-05 14:34:24] 89   -104931.67 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  5.05e-04 ]
[24-11-05 14:34:25] 90   -100345.46 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  2.57e-04 ]
[24-11-05 14:34:26] 91    -86522.21 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  1.03e-04 ]
