[24-11-01 12:18:38] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:18:38] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:18:38] 0            p0 [    38469.7  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:38] 1     -30337.44 [    38469.7  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 2     -30337.44 [    38469.7  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 3     -30337.33 [    38470.7  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 4     -30337.15 [    38472.4  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 5     -30317.61 [    38648.7  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 7     -29634.77 [    45991.6  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:39] 9     -29947.19 [    42320.1  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 10    -29503.66 [    47725.0  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 11    -29427.21 [    48796.3  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 12    -29381.58 [    49458.4  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 13    -29353.98 [    49867.6  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 15    -29364.47 [    49711.3  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:40] 16    -29346.37 [    49981.6  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:41] 17    -29346.37 [    49981.6  139050.5   13712.2   20358.1 ]
[24-11-01 12:18:41] 18    -29346.38 [    49981.6  139051.5   13712.2   20358.1 ]
[24-11-01 12:18:41] 19    -29346.36 [    49981.6  139048.8   13712.2   20358.1 ]
[24-11-01 12:18:41] 20    -29344.65 [    49981.6  138872.5   13712.2   20358.1 ]
[24-11-01 12:18:41] 21    -29171.49 [    49981.6  119648.6   13712.2   20358.1 ]
[24-11-01 12:18:41] 23     -28881.8 [    49981.6   74760.8   13712.2   20358.1 ]
[24-11-01 12:18:42] 25    -29005.07 [    49981.6   97204.7   13712.2   20358.1 ]
[24-11-01 12:18:42] 26    -28840.12 [    49981.6   64164.2   13712.2   20358.1 ]
[24-11-01 12:18:42] 27    -28820.05 [    49981.6   57615.2   13712.2   20358.1 ]
[24-11-01 12:18:42] 28    -28809.91 [    49981.6   53567.7   13712.2   20358.1 ]
[24-11-01 12:18:42] 29    -28804.52 [    49981.6   51066.2   13712.2   20358.1 ]
[24-11-01 12:18:42] 31     -28806.5 [    49981.6   52021.6   13712.2   20358.1 ]
[24-11-01 12:18:43] 32    -28804.52 [    49981.6   51066.2   13712.2   20358.1 ]
[24-11-01 12:18:43] 33    -28804.39 [    49981.6   51066.2   13713.2   20358.1 ]
[24-11-01 12:18:43] 34    -28804.18 [    49981.6   51066.2   13714.8   20358.1 ]
[24-11-01 12:18:43] 35     -28781.4 [    49981.6   51066.2   13891.2   20358.1 ]
[24-11-01 12:18:43] 36    -28222.11 [    49981.6   51066.2   20421.7   20358.1 ]
[24-11-01 12:18:43] 37    -27826.06 [    49981.6   51066.2   30988.3   20358.1 ]
[24-11-01 12:18:44] 38    -27794.06 [    49981.6   51066.2   32357.7   20358.1 ]
[24-11-01 12:18:44] 39    -27747.77 [    49981.6   51066.2   34573.4   20358.1 ]
[24-11-01 12:18:44] 40    -27554.12 [    49981.6   51066.2   48605.8   20358.1 ]
[24-11-01 12:18:44] 41    -27403.97 [    49981.6   51066.2   71310.6   20358.1 ]
[24-11-01 12:18:44] 42    -27380.92 [    49981.6   51066.2   76857.9   20358.1 ]
[24-11-01 12:18:44] 43    -27349.99 [    49981.6   51066.2   85833.7   20358.1 ]
[24-11-01 12:18:45] 45    -27318.18 [    49981.6   51066.2   97578.8   20358.1 ]
[24-11-01 12:18:45] 47    -27333.06 [    49981.6   51066.2   91706.2   20358.1 ]
[24-11-01 12:18:45] 49    -27323.65 [    49981.6   51066.2   95335.7   20358.1 ]
[24-11-01 12:18:45] 50    -27315.69 [    49981.6   51066.2   98637.9   20358.1 ]
[24-11-01 12:18:45] 51    -27313.73 [    49981.6   51066.2   99487.2   20358.1 ]
[24-11-01 12:18:45] 52    -27313.73 [    49981.6   51066.2   99487.2   20358.1 ]
[24-11-01 12:18:45] 53    -27313.75 [    49981.6   51066.2   99487.2   20359.1 ]
[24-11-01 12:18:46] 54    -27313.71 [    49981.6   51066.2   99487.2   20356.5 ]
[24-11-01 12:18:46] 55    -27313.67 [    49981.6   51066.2   99487.2   20353.9 ]
[24-11-01 12:18:46] 56     -27313.6 [    49981.6   51066.2   99487.2   20349.6 ]
[24-11-01 12:18:46] 57     -27313.5 [    49981.6   51066.2   99487.2   20342.8 ]
[24-11-01 12:18:46] 58    -27313.33 [    49981.6   51066.2   99487.2   20331.7 ]
[24-11-01 12:18:46] 59    -27313.05 [    49981.6   51066.2   99487.2   20313.7 ]
[24-11-01 12:18:47] 60    -27312.61 [    49981.6   51066.2   99487.2   20284.7 ]
[24-11-01 12:18:47] 61    -27311.89 [    49981.6   51066.2   99487.2   20237.7 ]
[24-11-01 12:18:47] 62    -27310.73 [    49981.6   51066.2   99487.2   20161.7 ]
[24-11-01 12:18:47] 63    -27308.84 [    49981.6   51066.2   99487.2   20038.7 ]
[24-11-01 12:18:47] 64    -27305.78 [    49981.6   51066.2   99487.2   19839.7 ]
