[24-11-01 12:15:54] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:15:54] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:15:54] 0            p0 [    38319.0   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:54] 1     -30606.22 [    38319.0   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 2     -30606.22 [    38319.0   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 3     -30606.07 [    38320.0   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 4     -30605.84 [    38321.7   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 5     -30579.94 [    38498.0   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 7     -29674.07 [    45840.9   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:55] 9     -30088.62 [    42169.5   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 10    -29500.08 [    47574.3   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 11    -29398.61 [    48645.6   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 12    -29338.06 [    49307.7   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 13    -29301.42 [    49716.9   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 14    -29279.07 [    49969.8   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 16    -29289.34 [    49853.3   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:56] 17    -29279.07 [    49969.8   93088.8   12655.3   21401.0 ]
[24-11-01 12:15:57] 18    -29279.08 [    49969.8   93089.8   12655.3   21401.0 ]
[24-11-01 12:15:57] 19    -29279.06 [    49969.8   93087.2   12655.3   21401.0 ]
[24-11-01 12:15:57] 20    -29277.51 [    49969.8   92910.8   12655.3   21401.0 ]
[24-11-01 12:15:57] 21    -29122.69 [    49969.8   73687.0   12655.3   21401.0 ]
[24-11-01 12:15:57] 24    -29030.54 [    49969.8   59896.9   12655.3   21401.0 ]
[24-11-01 12:15:58] 25    -29074.53 [    49969.8   66791.9   12655.3   21401.0 ]
[24-11-01 12:15:58] 26    -28982.23 [    49969.8   51374.1   12655.3   21401.0 ]
[24-11-01 12:15:58] 28    -28999.87 [    49969.8   54629.5   12655.3   21401.0 ]
[24-11-01 12:15:58] 30    -28988.85 [    49969.8   52617.6   12655.3   21401.0 ]
[24-11-01 12:15:58] 31    -28978.22 [    49969.8   50605.6   12655.3   21401.0 ]
[24-11-01 12:15:58] 32    -28975.77 [    49969.8   50130.6   12655.3   21401.0 ]
[24-11-01 12:15:59] 33    -28975.77 [    49969.8   50130.6   12655.3   21401.0 ]
[24-11-01 12:15:59] 34    -28975.62 [    49969.8   50130.6   12656.3   21401.0 ]
[24-11-01 12:15:59] 35    -28975.37 [    49969.8   50130.6   12657.9   21401.0 ]
[24-11-01 12:15:59] 36    -28948.88 [    49969.8   50130.6   12834.3   21401.0 ]
[24-11-01 12:15:59] 37    -28349.38 [    49969.8   50130.6   18855.2   21401.0 ]
[24-11-01 12:15:59] 38     -27924.5 [    49969.8   50130.6   28597.4   21401.0 ]
[24-11-01 12:16:00] 39    -27889.92 [    49969.8   50130.6   29869.5   21401.0 ]
