[24-11-01 20:36:57] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 20:36:57] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 20:36:57] 0            p0 [     6311.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:36:58] 1    -305509.92 [     6311.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:36:59] 2    -305509.92 [     6311.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:00] 3    -305582.62 [     6312.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:00] 4    -305392.31 [     6310.3  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:01] 5    -292699.64 [     6134.0  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:02] 7     -148301.1 [     2783.4  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:03] 8    -172870.16 [      712.7  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:03] 9    -150076.54 [     2333.2  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:04] 10   -149115.97 [     2961.7  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:05] 11   -148227.29 [     2703.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:06] 12   -148238.98 [     2740.0  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:07] 13   -148251.31 [     2667.8  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:07] 14   -148227.29 [     2703.9  358469.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:08] 15   -148227.05 [     2703.9  358470.5    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:09] 16   -148226.67 [     2703.9  358472.1    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:10] 17   -148226.06 [     2703.9  358474.7    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:10] 18   -148225.06 [     2703.9  358479.0    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:11] 19   -148223.45 [     2703.9  358485.8    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:12] 20   -148220.83 [     2703.9  358496.9    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
[24-11-01 20:37:13] 21   -148216.61 [     2703.9  358514.9    3542.9    4026.3  261578.8    1220.8  176244.9     871.5    1407.9  8.67e-05  1.08e-04  1.22e-05 ]
