[24-11-01 23:54:13] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 23:54:13] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 23:55:00] 37     -5909.41 [    49825.0  653939.5    2485.5    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:02] 38     -5908.94 [    49825.0  653939.5    2499.7    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:03] 39     -5910.25 [    49825.0  653939.5    2522.7    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:05] 40     -5909.14 [    49825.0  653939.5    2508.5    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:06] 41     -5909.01 [    49825.0  653939.5    2494.3    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:07] 42     -5908.94 [    49825.0  653939.5    2499.5    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:09] 43     -5908.94 [    49825.0  653939.5    2499.4    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:10] 44     -5908.94 [    49825.0  653939.5    2499.5    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:12] 45     -5911.17 [    49825.0  653939.5    2499.5    3393.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:13] 46     -5905.42 [    49825.0  653939.5    2499.5    3390.7  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:15] 47     -5846.04 [    49825.0  653939.5    2499.5    3336.1  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:16] 48     -5986.82 [    49825.0  653939.5    2499.5    3247.7  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:18] 49      -5866.0 [    49825.0  653939.5    2499.5    3302.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:19] 50     -5855.18 [    49825.0  653939.5    2499.5    3356.9  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:20] 51     -5846.02 [    49825.0  653939.5    2499.5    3334.9  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:22] 52     -5846.03 [    49825.0  653939.5    2499.5    3334.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:23] 53     -5846.03 [    49825.0  653939.5    2499.5    3335.5  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:25] 54     -5846.02 [    49825.0  653939.5    2499.5    3334.9  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:26] 55     -5845.98 [    49825.0  653939.5    2499.5    3334.9  158553.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:28] 56      -5845.9 [    49825.0  653939.5    2499.5    3334.9  158554.8    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:29] 57      -5837.9 [    49825.0  653939.5    2499.5    3334.9  158731.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:30] 58     -5757.43 [    49825.0  653939.5    2499.5    3334.9  162215.6    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:32] 59     -5908.16 [    49825.0  653939.5    2499.5    3334.9  167853.6    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:33] 60     -5776.71 [    49825.0  653939.5    2499.5    3334.9  164369.1    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:35] 61      -5771.2 [    49825.0  653939.5    2499.5    3334.9  160884.7    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:36] 62     -5757.08 [    49825.0  653939.5    2499.5    3334.9  162484.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:37] 63     -5757.08 [    49825.0  653939.5    2499.5    3334.9  162444.9    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:39] 64      -5757.1 [    49825.0  653939.5    2499.5    3334.9  162523.5    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:40] 65     -5757.08 [    49825.0  653939.5    2499.5    3334.9  162484.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:42] 66     -5757.82 [    49825.0  653939.5    2499.5    3334.9  162484.2    1394.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:43] 67      -5755.9 [    49825.0  653939.5    2499.5    3334.9  162484.2    1391.6  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:44] 68     -5691.34 [    49825.0  653939.5    2499.5    3334.9  162484.2    1215.3  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:46] 69     -5691.38 [    49825.0  653939.5    2499.5    3334.9  162484.2    1214.7  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:47] 70      -5699.4 [    49825.0  653939.5    2499.5    3334.9  162484.2    1282.6  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:49] 71     -5691.68 [    49825.0  653939.5    2499.5    3334.9  162484.2    1241.0  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:50] 72     -5691.05 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:51] 73     -5691.06 [    49825.0  653939.5    2499.5    3334.9  162484.2    1227.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:53] 74     -5691.06 [    49825.0  653939.5    2499.5    3334.9  162484.2    1223.9  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:54] 75     -5691.05 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:55] 76     -5691.09 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  150271.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:57] 77      -5691.0 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  150268.7    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:55:58] 78     -5684.95 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  150092.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:00] 79     -5221.59 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  130868.5    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:01] 80     -5257.45 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  117520.2    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:03] 81     -5352.02 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  138211.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:04] 82     -5180.76 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  125769.9    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:05] 83      -5182.0 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  123211.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:07] 84     -5179.23 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:08] 85     -5179.28 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124454.0    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:10] 86     -5179.35 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124965.2    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:11] 87     -5179.23 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:13] 88     -5180.34 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1252.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:14] 89     -5177.45 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1250.1     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:15] 90     -5039.53 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1073.8     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:17] 91     -5032.62 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     945.5     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:18] 92     -5272.41 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     738.1     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:20] 93     -5081.98 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     866.3     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:21] 94     -5023.85 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     994.5     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:23] 95     -5023.81 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     997.1     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:24] 96      -5023.8 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:25] 97     -5026.26 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1028.0     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:27] 98     -5023.83 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6    1002.2     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:28] 99      -5023.8 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:30] 100    -5020.94 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6     756.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:31] 101    -5016.33 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6     757.9  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:33] 102    -4620.52 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6     934.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:34] 103    -4420.39 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1175.0  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:35] 104    -4743.87 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1564.6  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:37] 105    -4465.82 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1323.8  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:38] 106    -4453.25 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1083.0  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:40] 107    -4419.73 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1194.0  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:41] 108     -4419.7 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:43] 109    -4419.78 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1185.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:44] 110     -4419.7 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:45] 117   -11099.88 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  7.08e-03  7.72e-05  1.23e-05 ]
[24-11-01 23:56:47] 118   -10617.26 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  3.59e-03  7.72e-05  1.23e-05 ]
[24-11-01 23:56:48] 123    -9249.05 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.44e-03  7.72e-05  1.23e-05 ]
[24-11-01 23:56:50] 125     -7009.0 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6   6.2e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:51] 127     -5234.5 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  3.06e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:53] 129     -4594.4 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.86e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:54] 130     -4479.1 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6   7.2e-05  7.72e-05  1.23e-05 ]
[24-11-01 23:56:55] 131     -4420.3 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.14e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:57] 132    -4419.49 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6   1.1e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:56:58] 133    -4419.48 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:57:00] 134    -4419.48 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  7.72e-05  1.23e-05 ]
