[24-11-01 22:27:19] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 22:27:19] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 22:27:19] 0            p0 [     6544.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:20] 1      -94399.3 [     6544.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:20] 2      -94399.3 [     6544.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:21] 3     -94389.76 [     6545.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:22] 4     -94374.34 [     6546.9  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:23] 5     -92727.61 [     6723.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:23] 6     -69882.56 [    10818.7  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:24] 7     -63919.57 [    17445.2  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:25] 8     -63881.67 [    15163.1  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:26] 9     -64929.68 [    13503.7  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:27] 10    -63732.97 [    16034.8  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:27] 11    -63730.24 [    16129.7  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:28] 12    -63729.95 [    16225.6  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:29] 13    -63761.97 [    16691.5  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:30] 14    -63732.11 [    16322.4  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:30] 15    -63729.95 [    16225.6  380396.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:31] 16    -63729.16 [    16225.6  380397.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:32] 17    -63727.89 [    16225.6  380399.4    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:33] 18    -63589.14 [    16225.6  380575.8    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:34] 19     -50335.4 [    16225.6  399799.7    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:34] 20    -25929.19 [    16225.6  458954.0    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:35] 21    -11750.84 [    16225.6  554667.6    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:36] 22    -12059.99 [    16225.6  550185.4    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:37] 23    -10560.28 [    16225.6  709535.6    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:37] 24     -9301.89 [    16225.6  638959.7    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:38] 25     -9604.37 [    16225.6  606763.0    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:39] 26     -9502.28 [    16225.6  665917.3    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:40] 27     -9304.45 [    16225.6  641545.3    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:40] 28     -9303.06 [    16225.6  636374.1    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:41] 29     -9301.89 [    16225.6  638959.7    3535.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:42] 30     -9302.18 [    16225.6  638959.7    3536.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:43] 31     -9301.44 [    16225.6  638959.7    3533.9    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:44] 32     -9296.67 [    16225.6  638959.7    3499.3    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:44] 33      -9308.4 [    16225.6  638959.7    3443.3    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:45] 34     -9298.35 [    16225.6  638959.7    3477.9    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:46] 35     -9297.39 [    16225.6  638959.7    3512.5    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:47] 36     -9296.67 [    16225.6  638959.7    3498.8    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:47] 37     -9296.67 [    16225.6  638959.7    3498.4    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:48] 38     -9296.67 [    16225.6  638959.7    3498.8    3046.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
[24-11-01 22:27:49] 39     -9288.09 [    16225.6  638959.7    3498.8    3047.7  148972.0    1088.8  133388.0    1300.9    1132.7  8.41e-05  1.14e-04  9.99e-06 ]
