[24-11-05 13:15:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 13:15:47] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 13:15:47] 0            p0 [   935845.1    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:48] 1    -239022.26 [   935845.1    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:48] 2    -239022.26 [   935845.1    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:49] 3    -239023.49 [   935846.1    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:50] 4    -239020.27 [   935843.4    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:50] 5    -238803.13 [   935667.1    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:51] 6     -215634.1 [   916443.2    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:52] 8     -58390.75 [   748181.5    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:52] 9     -17085.57 [   644190.0    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:53] 10    -23606.36 [   595557.9    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:54] 11    -16787.66 [   639133.4    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:55] 12    -16695.42 [   635010.7    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:55] 13     -16716.2 [   632002.3    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:56] 14    -16695.42 [   635010.7    4843.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:57] 15    -16694.75 [   635010.7    4844.4  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
[24-11-05 13:15:57] 16    -16693.67 [   635010.7    4846.0  550608.9    2209.4    3957.6   23525.7   36752.2  7.29e-06 ]
