[24-11-05 11:25:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:25:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:25:43] 0            p0 [   925825.7    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:44] 1    -109663.29 [   925825.7    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:45] 2    -109663.29 [   925825.7    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:46] 3    -109664.24 [   925826.7    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:47] 4    -109661.74 [   925824.0    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:48] 5    -109493.39 [   925647.7    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:49] 6     -91870.84 [   906423.8    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:51] 8     -32337.32 [   820405.4    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:52] 9     -14288.27 [   767243.0    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:53] 10     -12775.8 [   726816.4    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:54] 11    -11946.56 [   741234.5    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:55] 12    -11954.46 [   743080.4    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:57] 13    -11963.99 [   739388.6    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:58] 14    -11946.56 [   741234.5    5986.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:25:59] 15     -11946.5 [   741234.5    5987.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:26:00] 16     -11946.4 [   741234.5    5988.6  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
[24-11-05 11:26:01] 17    -11936.56 [   741234.5    6165.0  723952.1    2260.6    3677.7   35784.0   36574.3  1.16e-05 ]
