[24-10-31 15:05:39] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 15:05:39] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 15:05:39] 0            p0 [    18035.6   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:39] 1     -55781.78 [    18035.6   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:39] 2     -55781.78 [    18035.6   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:39] 3     -55781.73 [    18036.6   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:40] 4     -55781.66 [    18038.2   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:40] 5     -55773.68 [    18214.6   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:40] 6     -55605.19 [    23988.4   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:40] 7     -55506.53 [    33330.7   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:40] 8     -55508.72 [    32946.4   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:41] 9     -55467.08 [    48446.9   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:41] 10     -55471.2 [    44902.9   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:41] 13    -55474.87 [    42673.0   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:41] 14    -55470.29 [    45559.9   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:42] 16    -55465.94 [    49809.9   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:42] 18    -55466.35 [    49289.3   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:42] 20    -55465.94 [    49809.9   22943.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:42] 21    -55466.05 [    49809.9   22944.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:42] 22    -55465.75 [    49809.9   22941.6   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:43] 23    -55465.46 [    49809.9   22939.0   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:43] 24    -55464.98 [    49809.9   22934.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:43] 25     -55464.2 [    49809.9   22927.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:43] 26    -55462.94 [    49809.9   22916.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:44] 27     -55460.9 [    49809.9   22898.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:44] 28     -55457.6 [    49809.9   22869.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:44] 29    -55452.25 [    49809.9   22822.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:44] 30    -55443.57 [    49809.9   22746.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:44] 31    -55429.45 [    49809.9   22623.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:45] 32    -55406.45 [    49809.9   22424.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:45] 33    -55368.77 [    49809.9   22102.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:45] 34    -55306.63 [    49809.9   21581.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:45] 35    -55202.97 [    49809.9   20738.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:46] 36    -55027.11 [    49809.9   19374.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:46] 37    -54722.91 [    49809.9   17167.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:46] 38    -54207.92 [    49809.9   13596.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:46] 39    -54096.16 [    49809.9    7818.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:46] 40    -53856.07 [    49809.9    9983.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:47] 41    -53937.97 [    49809.9   11363.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:47] 42    -53873.08 [    49809.9    9156.8   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:47] 43    -53854.57 [    49809.9    9854.2   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:47] 44    -53854.47 [    49809.9    9723.3   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:48] 45     -53857.7 [    49809.9    9506.9   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:48] 46    -53854.47 [    49809.9    9723.3   54970.6    4610.2   23378.6 ]
[24-10-31 15:05:48] 47     -53854.5 [    49809.9    9723.3   54971.6    4610.2   23378.6 ]
[24-10-31 15:05:48] 48    -53854.42 [    49809.9    9723.3   54968.9    4610.2   23378.6 ]
[24-10-31 15:05:48] 49    -53848.67 [    49809.9    9723.3   54792.6    4610.2   23378.6 ]
[24-10-31 15:05:49] 51    -53636.29 [    49809.9    9723.3   47449.7    4610.2   23378.6 ]
[24-10-31 15:05:49] 52    -53531.08 [    49809.9    9723.3   42911.6    4610.2   23378.6 ]
[24-10-31 15:05:49] 53    -53475.86 [    49809.9    9723.3   40106.8    4610.2   23378.6 ]
[24-10-31 15:05:49] 55    -53496.07 [    49809.9    9723.3   41178.2    4610.2   23378.6 ]
[24-10-31 15:05:50] 57    -53483.45 [    49809.9    9723.3   40516.1    4610.2   23378.6 ]
[24-10-31 15:05:50] 59    -53478.74 [    49809.9    9723.3   40263.2    4610.2   23378.6 ]
[24-10-31 15:05:50] 60    -53475.86 [    49809.9    9723.3   40106.8    4610.2   23378.6 ]
[24-10-31 15:05:50] 61    -53475.78 [    49809.9    9723.3   40106.8    4611.2   23378.6 ]
[24-10-31 15:05:50] 62    -53475.64 [    49809.9    9723.3   40106.8    4612.8   23378.6 ]
[24-10-31 15:05:51] 63    -53462.09 [    49809.9    9723.3   40106.8    4789.2   23378.6 ]
[24-10-31 15:05:51] 64    -53424.55 [    49809.9    9723.3   40106.8    5618.7   23378.6 ]
[24-10-31 15:05:51] 65    -53412.75 [    49809.9    9723.3   40106.8    6960.9   23378.6 ]
[24-10-31 15:05:51] 66    -53412.59 [    49809.9    9723.3   40106.8    6551.5   23378.6 ]
[24-10-31 15:05:52] 67     -53414.7 [    49809.9    9723.3   40106.8    6195.2   23378.6 ]
[24-10-31 15:05:52] 68    -53412.37 [    49809.9    9723.3   40106.8    6707.9   23378.6 ]
[24-10-31 15:05:52] 69    -53412.37 [    49809.9    9723.3   40106.8    6728.8   23378.6 ]
[24-10-31 15:05:52] 70    -53412.38 [    49809.9    9723.3   40106.8    6750.0   23378.6 ]
[24-10-31 15:05:53] 71    -53412.37 [    49809.9    9723.3   40106.8    6728.8   23378.6 ]
[24-10-31 15:05:53] 72    -53412.33 [    49809.9    9723.3   40106.8    6728.8   23379.6 ]
[24-10-31 15:05:53] 73    -53412.27 [    49809.9    9723.3   40106.8    6728.8   23381.2 ]
[24-10-31 15:05:53] 74    -53405.87 [    49809.9    9723.3   40106.8    6728.8   23557.6 ]
[24-10-31 15:05:54] 75    -53141.77 [    49809.9    9723.3   40106.8    6728.8   34500.4 ]
[24-10-31 15:05:54] 77    -53051.12 [    49809.9    9723.3   40106.8    6728.8   41263.4 ]
[24-10-31 15:05:54] 78    -53009.05 [    49809.9    9723.3   40106.8    6728.8   45443.2 ]
[24-10-31 15:05:54] 79    -52986.84 [    49809.9    9723.3   40106.8    6728.8   48026.5 ]
[24-10-31 15:05:54] 80    -52974.31 [    49809.9    9723.3   40106.8    6728.8   49623.0 ]
[24-10-31 15:05:55] 82    -52978.99 [    49809.9    9723.3   40106.8    6728.8   49013.2 ]
[24-10-31 15:05:55] 83    -52971.47 [    49809.9    9723.3   40106.8    6728.8   49999.9 ]
