[24-11-05 11:54:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:54:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:54:43] 0            p0 [   921967.2    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:44] 1     -15340.27 [   921967.2    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:45] 2     -15340.27 [   921967.2    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:45] 3     -15340.57 [   921968.2    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:46] 4     -15339.79 [   921965.6    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:47] 5     -15287.44 [   921789.2    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:47] 6     -10464.21 [   902565.3    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:48] 7      -6368.91 [   859211.7    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:49] 10     -6777.68 [   875771.3    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:49] 11     -6388.79 [   867491.5    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:50] 12     -6331.61 [   862905.7    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:51] 13     -6332.57 [   863496.3    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:51] 14     -6332.55 [   862315.1    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:52] 15     -6331.61 [   862905.7    6957.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:52] 16     -6331.51 [   862905.7    6958.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:53] 17     -6331.36 [   862905.7    6960.1  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:54] 18     -6315.66 [   862905.7    7136.4  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:54] 19     -6267.69 [   862905.7    8075.6  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:55] 20     -6263.85 [   862905.7    9595.1  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:56] 21     -6258.16 [   862905.7    8899.2  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:57] 22     -6259.24 [   862905.7    8584.6  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:57] 23     -6259.18 [   862905.7    9165.0  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:58] 24     -6258.15 [   862905.7    8879.2  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:59] 25     -6258.15 [   862905.7    8860.0  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:54:59] 26     -6258.15 [   862905.7    8879.2  834449.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:00] 27     -6258.15 [   862905.7    8879.2  834450.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:01] 28     -6258.15 [   862905.7    8879.2  834452.1    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:01] 29     -6258.04 [   862905.7    8879.2  834628.4    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:02] 30     -6257.95 [   862905.7    8879.2  834973.2    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:03] 31     -6258.18 [   862905.7    8879.2  835531.1    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:03] 32     -6257.98 [   862905.7    8879.2  835186.3    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:04] 33     -6257.96 [   862905.7    8879.2  834841.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:05] 34     -6257.95 [   862905.7    8879.2  834968.0    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:05] 35     -6257.95 [   862905.7    8879.2  834978.5    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:06] 36     -6257.95 [   862905.7    8879.2  834973.2    2482.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:07] 37     -6263.04 [   862905.7    8879.2  834973.2    2483.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:08] 38     -6249.74 [   862905.7    8879.2  834973.2    2480.7    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:08] 39     -5484.75 [   862905.7    8879.2  834973.2    2304.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:09] 40     -4560.34 [   862905.7    8879.2  834973.2    1869.7    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:10] 41     -5257.91 [   862905.7    8879.2  834973.2    1166.5    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:10] 42     -4548.28 [   862905.7    8879.2  834973.2    1601.1    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:11] 43     -4718.97 [   862905.7    8879.2  834973.2    1435.1    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:12] 44     -4507.23 [   862905.7    8879.2  834973.2    1726.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:12] 45     -4507.29 [   862905.7    8879.2  834973.2    1733.9    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:13] 46     -4507.46 [   862905.7    8879.2  834973.2    1718.8    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:14] 47     -4507.23 [   862905.7    8879.2  834973.2    1726.3    2775.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:15] 48     -4506.28 [   862905.7    8879.2  834973.2    1726.3    2776.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:15] 49     -4504.77 [   862905.7    8879.2  834973.2    1726.3    2778.4   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:16] 50      -4398.1 [   862905.7    8879.2  834973.2    1726.3    2954.7   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:16] 51     -4390.45 [   862905.7    8879.2  834973.2    1726.3    3027.8   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:17] 52     -4427.78 [   862905.7    8879.2  834973.2    1726.3    3146.1   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:18] 53     -4397.25 [   862905.7    8879.2  834973.2    1726.3    3073.0   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:18] 54      -4390.7 [   862905.7    8879.2  834973.2    1726.3    2999.9   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:19] 55     -4390.15 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:20] 56     -4390.16 [   862905.7    8879.2  834973.2    1726.3    3018.3   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:20] 57     -4390.16 [   862905.7    8879.2  834973.2    1726.3    3013.5   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:21] 58     -4390.15 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:22] 59     -4390.15 [   862905.7    8879.2  834973.2    1726.3    3015.9   21570.0   35310.1  8.26e-06 ]
[24-11-05 11:55:22] 60     -4390.15 [   862905.7    8879.2  834973.2    1726.3    3015.9   21571.6   35310.1  8.26e-06 ]
[24-11-05 11:55:23] 61     -4390.15 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35310.1  8.26e-06 ]
[24-11-05 11:55:24] 62     -4390.65 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35311.1  8.26e-06 ]
[24-11-05 11:55:24] 63     -4389.34 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35308.4  8.26e-06 ]
[24-11-05 11:55:25] 64     -4302.58 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   35132.1  8.26e-06 ]
[24-11-05 11:55:26] 65     -3364.38 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   28907.3  8.26e-06 ]
[24-11-05 11:55:26] 66    -21609.76 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   18835.5  8.26e-06 ]
[24-11-05 11:55:27] 67     -6107.21 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   25060.2  8.26e-06 ]
[24-11-05 11:55:28] 68     -3141.62 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   31285.0  8.26e-06 ]
[24-11-05 11:55:28] 69     -3117.16 [   862905.7    8879.2  834973.2    1726.3    3015.9   21569.0   30567.0  8.26e-06 ]
