[24-10-31 14:58:48] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 14:58:48] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 14:58:48] 0            p0 [    22931.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:48] 1     -18792.28 [    22931.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:48] 2     -18792.28 [    22931.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:49] 3     -18792.25 [    22932.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:49] 4      -18792.2 [    22933.9   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:49] 5     -18787.21 [    23110.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:49] 6     -18729.41 [    26558.7   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:50] 7     -18728.48 [    32138.4   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:50] 8     -18719.74 [    29393.7   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:50] 9     -18720.62 [    28310.8   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:50] 10    -18721.47 [    30442.1   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:51] 11    -18719.68 [    29204.3   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:51] 12    -18719.68 [    29141.6   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:51] 13    -18719.69 [    29079.5   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:51] 14    -18719.68 [    29141.6   26834.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:52] 15    -18719.95 [    29141.6   26835.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:52] 16    -18719.25 [    29141.6   26833.1   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:52] 17    -18718.56 [    29141.6   26830.5   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:52] 18    -18717.43 [    29141.6   26826.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:53] 19    -18715.61 [    29141.6   26819.4   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:53] 20    -18712.66 [    29141.6   26808.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:53] 21    -18707.89 [    29141.6   26790.4   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:53] 22    -18700.16 [    29141.6   26761.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:53] 23    -18687.64 [    29141.6   26714.4   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:54] 24    -18667.34 [    29141.6   26638.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:54] 25    -18634.39 [    29141.6   26515.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:54] 26     -18580.8 [    29141.6   26316.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:54] 27    -18493.36 [    29141.6   25994.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:55] 28    -18350.01 [    29141.6   25473.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:55] 29    -18113.28 [    29141.6   24630.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:55] 30    -17718.54 [    29141.6   23266.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:55] 31    -17055.74 [    29141.6   21059.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:56] 32    -15985.51 [    29141.6   17488.3   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:56] 37    -17065.63 [    29141.6    9202.9   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:56] 38    -15176.63 [    29141.6   13345.6   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:56] 39    -15247.22 [    29141.6   14174.9   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:57] 40    -15195.43 [    29141.6   12479.7   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:57] 41    -15170.84 [    29141.6   13085.0   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:57] 42    -15171.51 [    29141.6   12947.5   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:57] 43    -15170.84 [    29141.6   13085.0   52270.0    5715.5   16349.9 ]
[24-10-31 14:58:57] 44    -15170.82 [    29141.6   13085.0   52271.0    5715.5   16349.9 ]
[24-10-31 14:58:58] 45    -15170.78 [    29141.6   13085.0   52272.6    5715.5   16349.9 ]
[24-10-31 14:58:58] 46    -15166.69 [    29141.6   13085.0   52449.0    5715.5   16349.9 ]
[24-10-31 14:58:58] 47    -15068.65 [    29141.6   13085.0   61038.7    5715.5   16349.9 ]
[24-10-31 14:58:59] 48    -15335.14 [    29141.6   13085.0   74937.1    5715.5   16349.9 ]
[24-10-31 14:58:59] 49    -15107.94 [    29141.6   13085.0   66347.4    5715.5   16349.9 ]
[24-10-31 14:58:59] 50    -15082.63 [    29141.6   13085.0   57757.7    5715.5   16349.9 ]
