[24-11-05 14:47:01] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:47:01] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:47:01] 0            p0 [    13727.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:02] 1     -54454.48 [    13727.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:03] 2     -54454.48 [    13727.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:04] 3     -54460.47 [    13728.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:04] 4     -54444.78 [    13725.9    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:05] 5     -53418.47 [    13549.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:06] 6     -44224.73 [    10634.1    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:07] 7     -51499.93 [     5916.9    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:07] 8      -44512.0 [     8832.3    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:08] 9     -46140.28 [    11747.7    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:09] 10    -43881.37 [     9856.8    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:10] 11    -43880.79 [     9895.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:10] 12    -43881.97 [     9933.9    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:11] 13    -43880.79 [     9895.5    5343.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:12] 14    -43878.48 [     9895.5    5344.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:12] 15    -43874.76 [     9895.5    5346.4  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:13] 16    -43488.37 [     9895.5    5522.8  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:14] 17    -41320.47 [     9895.5    7201.6  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:15] 18    -40996.17 [     9895.5    9918.0  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:15] 19    -40846.66 [     9895.5    8783.7  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:16] 20     -40909.0 [     9895.5    8179.4  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
[24-11-05 14:47:17] 21    -40868.81 [     9895.5    9217.0  470383.1    3556.2    2893.7   39294.7   34915.5  8.56e-06 ]
