[24-11-02 00:30:39] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-02 00:30:39] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-02 00:30:39] 0            p0 [     8462.6  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:40] 1     -170257.8 [     8462.6  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:41] 2     -170257.8 [     8462.6  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:41] 3    -170261.23 [     8463.6  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:42] 4    -170252.24 [     8461.0  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:43] 5    -170243.25 [     8458.3  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:44] 6    -170228.69 [     8454.1  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:44] 7    -170205.13 [     8447.3  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:45] 8    -170166.95 [     8436.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:46] 9    -170105.06 [     8418.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:47] 10   -170004.63 [     8389.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:47] 11   -169841.34 [     8342.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:48] 12   -169575.06 [     8266.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:49] 13   -169138.72 [     8143.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:50] 14   -168418.12 [     7944.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:50] 15   -167213.07 [     7622.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:51] 16   -165157.61 [     7101.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:52] 17   -161547.65 [     6258.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:53] 18   -155036.13 [     4894.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:54] 19   -145925.79 [     2687.2  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:54] 22   -156183.91 [     1183.4  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:55] 23   -147138.89 [     1935.3  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:56] 24   -145791.67 [     2427.7  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:57] 25   -145782.63 [     2497.7  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:57] 26   -145802.68 [     2557.4  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:58] 27   -145782.63 [     2497.7  382700.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:30:59] 28   -145782.35 [     2497.7  382701.4    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:00] 29   -145781.89 [     2497.7  382703.0    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:00] 30   -145781.14 [     2497.7  382705.6    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:01] 31   -145779.94 [     2497.7  382709.8    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:02] 32   -145777.99 [     2497.7  382716.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:03] 33   -145774.84 [     2497.7  382727.8    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:03] 34   -145769.74 [     2497.7  382745.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:04] 35   -145761.48 [     2497.7  382774.8    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:05] 36   -145748.13 [     2497.7  382821.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:06] 37    -145726.5 [     2497.7  382897.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:06] 38   -145691.49 [     2497.7  383020.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:07] 39   -145634.78 [     2497.7  383219.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:08] 40   -145542.86 [     2497.7  383541.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
[24-11-02 00:31:09] 41   -145393.71 [     2497.7  384062.7    2329.4    4134.6  245124.1    1292.5  173494.5     846.9     950.2   7.6e-05  1.26e-04  1.16e-05 ]
