[24-11-05 14:48:16] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:48:16] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:48:16] 0            p0 [    23602.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:17] 1     -76729.45 [    23602.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:18] 2     -76729.45 [    23602.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:18] 3     -76740.05 [    23603.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:19] 4     -76712.29 [    23601.1    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:20] 5     -74869.89 [    23424.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:20] 6     -40728.99 [    17630.2    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:21] 7      -53583.8 [     8254.4    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:22] 8     -39008.57 [    14049.0    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:23] 9     -42738.13 [    11835.6    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:23] 10    -38363.68 [    15196.8    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:25] 11    -38356.72 [    15280.9    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:26] 12    -38355.55 [    15364.1    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:27] 13    -38694.63 [    16229.7    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:28] 14    -38360.04 [    15446.5    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:30] 15    -38355.55 [    15364.1    6601.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:31] 16    -38355.81 [    15364.1    6602.8  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:32] 17    -38355.12 [    15364.1    6600.2  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:33] 18    -38319.33 [    15364.1    6423.9  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:34] 19    -38307.19 [    15364.1    6215.2  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:36] 20    -38370.14 [    15364.1    5877.7  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:37] 21    -38318.18 [    15364.1    6086.3  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:38] 22    -38307.67 [    15364.1    6294.9  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:39] 23    -38306.74 [    15364.1    6248.1  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:40] 24    -38306.74 [    15364.1    6244.6  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:42] 25    -38306.75 [    15364.1    6251.6  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:43] 26    -38306.74 [    15364.1    6248.1  525140.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
[24-11-05 14:48:44] 27    -38306.64 [    15364.1    6248.1  525141.1    4071.5    3769.1   38930.2   27789.4  8.61e-06 ]
