[24-11-01 12:19:16] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:19:16] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:19:16] 0            p0 [    25752.0  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:16] 1     -16204.28 [    25752.0  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:17] 2     -16204.28 [    25752.0  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:17] 3     -16204.03 [    25753.0  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:17] 4     -16203.63 [    25754.6  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:17] 5     -16160.05 [    25930.9  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:17] 6     -14111.46 [    38419.8  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 8     -13411.34 [    46138.3  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 10    -13728.58 [    42279.0  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 11    -13279.76 [    47960.4  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 12    -13203.45 [    49086.5  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 13    -13158.06 [    49782.5  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:18] 15    -13175.24 [    49516.7  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:19] 16    -13158.06 [    49782.5  141905.5   11348.0   22350.8 ]
[24-11-01 12:19:19] 17    -13158.08 [    49782.5  141906.5   11348.0   22350.8 ]
[24-11-01 12:19:19] 18    -13158.03 [    49782.5  141903.8   11348.0   22350.8 ]
[24-11-01 12:19:19] 19     -13154.7 [    49782.5  141727.5   11348.0   22350.8 ]
[24-11-01 12:19:19] 20    -12828.67 [    49782.5  122503.6   11348.0   22350.8 ]
[24-11-01 12:19:19] 22    -12484.67 [    49782.5   93339.7   11348.0   22350.8 ]
[24-11-01 12:19:20] 23     -12372.9 [    49782.5   75315.4   11348.0   22350.8 ]
[24-11-01 12:19:20] 24    -12345.53 [    49782.5   58174.8   11348.0   22350.8 ]
[24-11-01 12:19:20] 25    -12344.49 [    49782.5   60647.5   11348.0   22350.8 ]
[24-11-01 12:19:20] 26    -12344.52 [    49782.5   61460.1   11348.0   22350.8 ]
[24-11-01 12:19:20] 27    -12344.64 [    49782.5   59834.9   11348.0   22350.8 ]
[24-11-01 12:19:21] 28    -12344.49 [    49782.5   60647.5   11348.0   22350.8 ]
[24-11-01 12:19:21] 29    -12344.23 [    49782.5   60647.5   11349.0   22350.8 ]
[24-11-01 12:19:21] 30    -12343.82 [    49782.5   60647.5   11350.7   22350.8 ]
[24-11-01 12:19:21] 31    -12299.83 [    49782.5   60647.5   11527.0   22350.8 ]
[24-11-01 12:19:21] 32    -11518.92 [    49782.5   60647.5   16280.4   22350.8 ]
[24-11-01 12:19:21] 33    -10977.78 [    49782.5   60647.5   23971.5   22350.8 ]
[24-11-01 12:19:22] 34    -10942.49 [    49782.5   60647.5   24786.9   22350.8 ]
[24-11-01 12:19:22] 35    -10890.66 [    49782.5   60647.5   26106.1   22350.8 ]
[24-11-01 12:19:22] 36    -10635.83 [    49782.5   60647.5   35942.2   22350.8 ]
