[24-11-05 13:09:58] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 13:09:58] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 13:09:58] 0            p0 [   701927.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:09:59] 1     -14804.66 [   701927.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:01] 2     -14804.66 [   701927.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:02] 3     -14804.65 [   701928.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:03] 4     -14804.62 [   701929.9    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:04] 5     -14801.73 [   702106.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:06] 6     -14782.28 [   704551.5    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:07] 7     -14831.43 [   708507.9    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:08] 8     -14789.37 [   706062.7    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:10] 9     -14785.18 [   703617.5    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:11] 10    -14782.28 [   704577.7    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:12] 11    -14782.28 [   704604.2    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:13] 12    -14782.28 [   704577.7    5588.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:15] 13    -14781.78 [   704577.7    5589.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:16] 14    -14780.97 [   704577.7    5591.4  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:17] 15    -14709.76 [   704577.7    5767.8  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:19] 16    -14657.84 [   704577.7    6051.4  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:20] 17    -14701.67 [   704577.7    6510.3  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:21] 18     -14658.2 [   704577.7    6226.7  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:22] 19    -14669.41 [   704577.7    5943.1  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:24] 20    -14655.22 [   704577.7    6136.3  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
[24-11-05 13:10:25] 21    -14655.23 [   704577.7    6130.9  624247.4    3094.6    3502.5   33766.7   34307.4  7.67e-06 ]
