[24-11-05 13:04:03] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 13:04:03] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 13:04:03] 0            p0 [   685997.9    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:04] 1     -26297.28 [   685997.9    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:04] 2     -26297.28 [   685997.9    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:05] 3     -26297.42 [   685998.9    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:06] 4     -26297.05 [   685996.3    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:06] 5     -26271.96 [   685819.9    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:07] 6     -24069.17 [   666596.0    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:08] 7     -22756.58 [   636025.3    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:08] 8      -26468.8 [   586560.8    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:09] 9     -23310.99 [   617131.5    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:10] 10    -22937.99 [   647702.3    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:11] 11    -22756.19 [   636572.4    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:11] 12    -22756.58 [   637066.6    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
[24-11-05 13:04:12] 13    -22756.19 [   636572.4    8399.6  569933.3    2788.2    4022.3   21664.5   21119.7  1.22e-05 ]
