[24-10-31 15:22:47] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 15:22:47] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 15:22:47] 0            p0 [    24044.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:48] 1     -47347.94 [    24044.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:48] 2     -47347.94 [    24044.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:49] 3     -47347.93 [    24045.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:49] 4      -47347.9 [    24047.0   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:49] 5     -47345.51 [    24223.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:50] 6     -47283.29 [    31335.3   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:50] 7     -47247.63 [    42842.6   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:51] 8     -47248.69 [    42195.1   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:51] 10    -47239.62 [    49954.5   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:52] 12     -47242.9 [    46398.6   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:52] 14    -47240.73 [    48596.3   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:53] 16    -47240.02 [    49435.7   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:53] 18    -47239.82 [    49695.4   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:54] 19    -47239.62 [    49954.5   14680.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:54] 20    -47239.79 [    49954.5   14681.0   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:55] 21    -47239.33 [    49954.5   14678.3   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:55] 22    -47238.87 [    49954.5   14675.7   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:56] 23    -47238.13 [    49954.5   14671.5   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:56] 24    -47236.93 [    49954.5   14664.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:56] 25    -47234.98 [    49954.5   14653.5   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:57] 26    -47231.83 [    49954.5   14635.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:57] 27    -47226.72 [    49954.5   14606.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:58] 28    -47218.41 [    49954.5   14559.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:58] 29    -47204.88 [    49954.5   14483.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:58] 30    -47182.76 [    49954.5   14360.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:58] 31    -47146.37 [    49954.5   14161.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:59] 32    -47085.84 [    49954.5   13839.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:22:59] 33     -46983.4 [    49954.5   13318.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:00] 34    -46804.82 [    49954.5   12475.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:00] 35    -46477.57 [    49954.5   11111.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:01] 36    -45825.61 [    49954.5    8904.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:01] 37    -44456.39 [    49954.5    5333.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:02] 39    -44522.05 [    49954.5    3126.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:02] 40    -45001.29 [    49954.5    6697.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:02] 41    -44175.05 [    49954.5    4353.8   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:03] 42    -44160.91 [    49954.5    4250.6   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:03] 43    -44163.55 [    49954.5    3808.9   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:04] 44    -44148.41 [    49954.5    4081.9   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:04] 45    -44148.46 [    49954.5    3975.9   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:05] 46    -44148.41 [    49954.5    4081.9   65743.5    5334.4   28044.5 ]
[24-10-31 15:23:05] 47    -44148.43 [    49954.5    4081.9   65744.5    5334.4   28044.5 ]
[24-10-31 15:23:06] 48    -44148.36 [    49954.5    4081.9   65741.9    5334.4   28044.5 ]
[24-10-31 15:23:06] 49    -44143.58 [    49954.5    4081.9   65565.5    5334.4   28044.5 ]
[24-10-31 15:23:06] 50    -44093.06 [    49954.5    4081.9   61845.1    5334.4   28044.5 ]
[24-10-31 15:23:07] 51     -44203.3 [    49954.5    4081.9   55825.3    5334.4   28044.5 ]
[24-10-31 15:23:07] 52     -44108.2 [    49954.5    4081.9   59545.7    5334.4   28044.5 ]
[24-10-31 15:23:08] 53    -44101.16 [    49954.5    4081.9   63266.1    5334.4   28044.5 ]
