[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:32:47] 0            p0 [    18862.5    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:47] 1    -229751.64 [    18862.5    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:48] 2    -229751.64 [    18862.5    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:49] 3    -229787.37 [    18863.5    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:49] 4    -229693.85 [    18860.9    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:50] 5    -223468.08 [    18684.5    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:51] 6     -71820.49 [    11304.1    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:51] 8     -52164.53 [     6742.7    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:52] 9     -55365.44 [     3923.6    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:53] 10     -52126.8 [     6102.7    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:53] 11    -52079.63 [     6368.9    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:54] 12    -52087.94 [     6493.9    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:55] 13    -52090.93 [     6244.0    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:56] 14    -52079.63 [     6368.9    7677.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:56] 15    -52078.83 [     6368.9    7678.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:57] 16    -52077.53 [     6368.9    7680.0  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:58] 17    -51942.87 [     6368.9    7856.3  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:58] 18    -51230.21 [     6368.9    9510.7  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:32:59] 19    -51406.24 [     6368.9   12187.7  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:00] 20    -51157.38 [     6368.9   10533.2  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:00] 21    -51208.61 [     6368.9   11165.2  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:01] 22    -51155.08 [     6368.9   10408.8  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:02] 23    -51154.94 [     6368.9   10359.4  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:02] 24    -51155.06 [     6368.9   10332.6  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:03] 25    -51154.94 [     6368.9   10359.4  461223.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:04] 26    -51154.88 [     6368.9   10359.4  461224.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:04] 27    -51154.78 [     6368.9   10359.4  461226.4    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:05] 28    -51144.06 [     6368.9   10359.4  461402.8    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:06] 29    -50050.12 [     6368.9   10359.4  480626.6    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:07] 30    -45792.61 [     6368.9   10359.4  611786.6    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:07] 31    -46636.59 [     6368.9   10359.4  824008.0    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:08] 32    -45240.97 [     6368.9   10359.4  692848.0    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:09] 33    -45485.95 [     6368.9   10359.4  742946.6    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:09] 34    -45239.55 [     6368.9   10359.4  690477.3    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:10] 35     -45239.1 [     6368.9   10359.4  687997.2    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:11] 36    -45239.64 [     6368.9   10359.4  685729.5    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:11] 37     -45239.1 [     6368.9   10359.4  687997.2    4034.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:12] 38    -45249.62 [     6368.9   10359.4  687997.2    4035.9    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:13] 39    -45222.09 [     6368.9   10359.4  687997.2    4033.3    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:13] 40    -43443.35 [     6368.9   10359.4  687997.2    3857.0    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:14] 41    -32858.76 [     6368.9   10359.4  687997.2    1859.5    2879.9   20489.1   26411.7  7.29e-06 ]
[24-11-05 14:33:15] 43    -32079.66 [     6368.9   10359.4  687997.2     625.0    2879.9   20489.1   26411.7  7.29e-06 ]
