[24-11-05 15:08:30] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 15:08:30] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 15:08:30] 0            p0 [    16785.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:31] 1    -104547.27 [    16785.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:31] 2    -104547.27 [    16785.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:32] 3    -104566.17 [    16786.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:32] 4     -104516.7 [    16783.5    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:32] 5     -101234.9 [    16607.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:33] 6      -41058.6 [    10938.6    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:33] 7     -54395.81 [     1766.7    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:34] 8     -36079.22 [     7435.2    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:34] 9     -40479.36 [     5270.1    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:35] 10    -35722.88 [     8020.5    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:36] 11    -35701.79 [     8316.2    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:36] 12    -35696.45 [     8226.7    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:37] 13    -35700.91 [     8141.2    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:37] 14    -35696.45 [     8226.7    8378.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:38] 15    -35694.11 [     8226.7    8379.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:38] 16    -35690.34 [     8226.7    8381.0  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:39] 17    -35289.14 [     8226.7    8557.4  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:39] 18    -30517.56 [     8226.7   11947.0  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:40] 19    -28633.17 [     8226.7   17431.6  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:40] 20    -28759.21 [     8226.7   16121.9  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:41] 21    -29572.15 [     8226.7   26305.8  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:41] 22    -28753.77 [     8226.7   20821.2  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:42] 23    -28905.53 [     8226.7   15336.7  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:42] 24    -28615.22 [     8226.7   18537.2  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
[24-11-05 15:08:43] 25    -28613.51 [     8226.7   18342.3  479245.4    2729.2    3029.5   20801.1   32838.4  8.16e-06 ]
