[24-11-05 14:46:12] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:46:12] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:46:59] 47    -22935.63 [     8844.3    9712.6  849164.8    1312.2    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:00] 48    -22932.56 [     8844.3    9712.6  849164.8    1338.7    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:01] 49    -22931.85 [     8844.3    9712.6  849164.8    1365.0    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:03] 50    -23023.15 [     8844.3    9712.6  849164.8    1586.5    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:04] 51    -22933.46 [     8844.3    9712.6  849164.8    1391.0    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:05] 52    -22931.85 [     8844.3    9712.6  849164.8    1365.0    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:06] 53    -22931.85 [     8844.3    9712.6  849164.8    1365.0    3158.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:08] 54    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3156.1   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:09] 55    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:10] 56    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.4   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:11] 57    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.7   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:13] 58    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3156.0   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:14] 59    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:15] 60    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:16] 61    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:18] 62    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31037.6   37960.5   1.4e-05 ]
[24-11-05 14:47:19] 63    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31039.3   37960.5   1.4e-05 ]
[24-11-05 14:47:20] 64    -22931.84 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:47:21] 65    -22931.81 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37961.5   1.4e-05 ]
[24-11-05 14:47:23] 66    -22931.76 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   37963.1   1.4e-05 ]
[24-11-05 14:47:24] 67     -22926.4 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   38139.5   1.4e-05 ]
[24-11-05 14:47:25] 68    -22909.11 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39299.3   1.4e-05 ]
[24-11-05 14:47:26] 69    -22939.42 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   41175.8   1.4e-05 ]
[24-11-05 14:47:28] 70    -22912.79 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   40016.1   1.4e-05 ]
[24-11-05 14:47:29] 71    -22912.17 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   38856.3   1.4e-05 ]
[24-11-05 14:47:30] 72    -22908.99 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5   1.4e-05 ]
[24-11-05 14:47:31] 73    -22908.99 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39396.0   1.4e-05 ]
[24-11-05 14:47:33] 74     -22909.0 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39425.0   1.4e-05 ]
[24-11-05 14:47:34] 75    -22908.99 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5   1.4e-05 ]
[24-11-05 14:47:35] 90    -98910.95 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  5.11e-04 ]
[24-11-05 14:47:36] 91    -94782.87 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  2.62e-04 ]
[24-11-05 14:47:38] 92    -82953.89 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.09e-04 ]
[24-11-05 14:47:39] 93    -61066.76 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  5.02e-05 ]
[24-11-05 14:47:40] 95    -38996.41 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  2.78e-05 ]
[24-11-05 14:47:42] 96    -29215.27 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  5.23e-06 ]
[24-11-05 14:47:43] 97    -22873.59 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.39e-05 ]
[24-11-05 14:47:44] 98    -21916.68 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.19e-05 ]
[24-11-05 14:47:45] 99    -22305.73 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  9.32e-06 ]
[24-11-05 14:47:47] 100   -21822.29 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.12e-05 ]
[24-11-05 14:47:48] 101   -21819.98 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.11e-05 ]
[24-11-05 14:47:49] 102   -21819.65 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:50] 103   -21819.83 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5   1.1e-05 ]
[24-11-05 14:47:52] 105   -21819.65 [     8844.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:53] 106    -21816.1 [     8845.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:54] 107   -21810.34 [     8847.0    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:56] 108   -21190.57 [     9023.3    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:57] 109   -15075.64 [    16615.7    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:47:58] 110  -181515.84 [    28900.5    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:00] 111    -43905.3 [    21308.1    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:01] 112   -11592.85 [    13715.7    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:02] 113   -11579.79 [    14243.4    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:04] 114   -11553.28 [    14003.5    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:05] 115   -11554.36 [    14055.1    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:06] 116   -11554.71 [    13951.9    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:07] 117   -11553.28 [    14003.5    9712.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
