[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:40:01] 46     -6710.07 [   661955.8    6384.9  626781.9    1906.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:03] 47     -6706.91 [   661955.8    6384.9  626781.9    1939.5    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:04] 48     -6709.57 [   661955.8    6384.9  626781.9    1959.4    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:05] 49     -6706.91 [   661955.8    6384.9  626781.9    1939.5    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:06] 50     -6711.57 [   661955.8    6384.9  626781.9    1939.5    3361.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:08] 51      -6699.4 [   661955.8    6384.9  626781.9    1939.5    3359.3   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:09] 52     -6025.46 [   661955.8    6384.9  626781.9    1939.5    3182.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:10] 53     -5476.55 [   661955.8    6384.9  626781.9    1939.5    2858.1   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:11] 54     -6105.38 [   661955.8    6384.9  626781.9    1939.5    2332.4   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:13] 55     -5525.97 [   661955.8    6384.9  626781.9    1939.5    2657.3   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:14] 56     -5587.59 [   661955.8    6384.9  626781.9    1939.5    2982.1   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:15] 57     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2792.7   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:16] 58     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:18] 59     -5463.24 [   661955.8    6384.9  626781.9    1939.5    2804.0   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:19] 60     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:20] 61     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2798.4   20872.8   23796.1  1.02e-05 ]
[24-11-05 11:40:21] 62     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2798.4   20874.4   23796.1  1.02e-05 ]
[24-11-05 11:40:22] 63     -5463.02 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:40:24] 64     -5462.92 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23797.1  1.02e-05 ]
[24-11-05 11:40:25] 65     -5462.75 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23798.7  1.02e-05 ]
[24-11-05 11:40:26] 66     -5447.92 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   23975.0  1.02e-05 ]
[24-11-05 11:40:27] 67      -5437.3 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24285.8  1.02e-05 ]
[24-11-05 11:40:29] 68     -5459.77 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24788.6  1.02e-05 ]
[24-11-05 11:40:30] 69     -5440.26 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24477.8  1.02e-05 ]
[24-11-05 11:40:31] 70     -5439.07 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24167.1  1.02e-05 ]
[24-11-05 11:40:32] 71     -5437.27 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  1.02e-05 ]
[24-11-05 11:40:34] 72     -5437.27 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24297.6  1.02e-05 ]
[24-11-05 11:40:35] 73     -5437.28 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24307.8  1.02e-05 ]
[24-11-05 11:40:36] 74     -5437.27 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  1.02e-05 ]
[24-11-05 11:40:37] 89   -281555.81 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  5.07e-04 ]
[24-11-05 11:40:39] 90   -266880.37 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  2.59e-04 ]
[24-11-05 11:40:40] 91   -219311.66 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  1.05e-04 ]
[24-11-05 11:40:41] 92   -128338.14 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  4.64e-05 ]
[24-11-05 11:40:42] 94    -48394.67 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  2.40e-05 ]
[24-11-05 11:40:43] 95    -37850.48 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  1.44e-06 ]
[24-11-05 11:40:45] 96     -7748.35 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7   1.2e-05 ]
[24-11-05 11:40:46] 97     -5130.77 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7   9.7e-06 ]
[24-11-05 11:40:47] 98      -4987.8 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  8.89e-06 ]
[24-11-05 11:40:48] 99     -4977.86 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.04e-06 ]
