[24-11-01 12:16:00] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:16:00] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:16:00] 0            p0 [    23054.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:00] 1      -4474.29 [    23054.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:00] 2      -4474.29 [    23054.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 3      -4473.71 [    23055.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 4      -4472.76 [    23056.8   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 5      -4371.16 [    23233.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 6      -2811.39 [    27838.8   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 7      -2933.72 [    35290.8   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 8      -2594.58 [    30685.2   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:01] 9      -2644.07 [    32444.4   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 10      -2594.3 [    30943.6   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 11     -2594.77 [    31022.5   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 12     -2594.09 [    30864.7   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 13     -2594.14 [    30786.6   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 14     -2594.09 [    30864.7   78872.5   12584.7   22685.8 ]
[24-11-01 12:16:02] 15     -2594.06 [    30864.7   78873.5   12584.7   22685.8 ]
[24-11-01 12:16:03] 16     -2594.01 [    30864.7   78875.2   12584.7   22685.8 ]
[24-11-01 12:16:03] 17     -2588.42 [    30864.7   79051.5   12584.7   22685.8 ]
[24-11-01 12:16:03] 18     -2103.24 [    30864.7   98275.4   12584.7   22685.8 ]
[24-11-01 12:16:03] 19     -1832.03 [    30864.7  126663.2   12584.7   22685.8 ]
[24-11-01 12:16:03] 20     -2496.78 [    30864.7  172595.6   12584.7   22685.8 ]
[24-11-01 12:16:04] 21     -1926.51 [    30864.7  144207.8   12584.7   22685.8 ]
[24-11-01 12:16:04] 22     -1873.39 [    30864.7  115820.0   12584.7   22685.8 ]
[24-11-01 12:16:04] 23     -1831.97 [    30864.7  127141.1   12584.7   22685.8 ]
[24-11-01 12:16:04] 24     -1832.06 [    30864.7  127623.8   12584.7   22685.8 ]
[24-11-01 12:16:04] 25     -1831.97 [    30864.7  127141.1   12584.7   22685.8 ]
[24-11-01 12:16:04] 26     -1831.59 [    30864.7  127141.1   12585.7   22685.8 ]
[24-11-01 12:16:05] 27     -1830.97 [    30864.7  127141.1   12587.3   22685.8 ]
[24-11-01 12:16:05] 28     -1765.58 [    30864.7  127141.1   12763.7   22685.8 ]
[24-11-01 12:16:05] 29      -1047.8 [    30864.7  127141.1   15870.1   22685.8 ]
[24-11-01 12:16:05] 30      -744.86 [    30864.7  127141.1   20896.4   22685.8 ]
[24-11-01 12:16:05] 31      -764.99 [    30864.7  127141.1   19818.3   22685.8 ]
[24-11-01 12:16:06] 32      -874.33 [    30864.7  127141.1   29029.2   22685.8 ]
[24-11-01 12:16:06] 33      -754.56 [    30864.7  127141.1   24002.9   22685.8 ]
[24-11-01 12:16:06] 34      -793.28 [    30864.7  127141.1   18976.5   22685.8 ]
[24-11-01 12:16:06] 35      -738.96 [    30864.7  127141.1   22172.7   22685.8 ]
[24-11-01 12:16:06] 36      -738.85 [    30864.7  127141.1   22076.8   22685.8 ]
[24-11-01 12:16:06] 37      -738.82 [    30864.7  127141.1   21981.9   22685.8 ]
[24-11-01 12:16:07] 38      -739.67 [    30864.7  127141.1   21567.3   22685.8 ]
[24-11-01 12:16:07] 39      -738.87 [    30864.7  127141.1   21888.0   22685.8 ]
[24-11-01 12:16:07] 40      -738.82 [    30864.7  127141.1   21981.9   22685.8 ]
[24-11-01 12:16:07] 41      -738.92 [    30864.7  127141.1   21981.9   22686.8 ]
[24-11-01 12:16:07] 42      -738.65 [    30864.7  127141.1   21981.9   22684.2 ]
[24-11-01 12:16:08] 43       -720.3 [    30864.7  127141.1   21981.9   22507.8 ]
[24-11-01 12:16:08] 44      -839.45 [    30864.7  127141.1   21981.9   15538.1 ]
[24-11-01 12:16:08] 45      -519.13 [    30864.7  127141.1   21981.9   19845.6 ]
[24-11-01 12:16:08] 46      -506.45 [    30864.7  127141.1   21981.9   18200.3 ]
[24-11-01 12:16:08] 47      -497.36 [    30864.7  127141.1   21981.9   18778.5 ]
